Number of Reads,321058865
Reads With Valid Barcodes,0.95161
Sequencing Saturation,0.247228
Q30 Bases in CB+UMI,0.888944
Q30 Bases in RNA read,0.960106
Reads Mapped to Genome: Unique+Multiple,0.836123
Reads Mapped to Genome: Unique,0.598313
Reads Mapped to Gene: Unique+Multipe Gene,0.484685
Reads Mapped to Gene: Unique Gene,0.457468
Estimated Number of Cells,6096
Unique Reads in Cells Mapped to Gene,133213161
Fraction of Unique Reads in Cells,0.906989
Mean Reads per Cell,21852
Median Reads per Cell,18063
UMIs in Cells,100189537
Mean UMI per Cell,16435
Median UMI per Cell,13547
Mean Gene per Cell,4937
Median Gene per Cell,4727
Total Gene Detected,47460
