Martian Runtime - v4.0.5
Serving UI at http://s002:37819?auth=pITx7YHdz0ZvriF46L3fjJQstNjH34o1TTBoeUYh3vs

Running preflight checks (please wait)...
2022-05-20 05:39:11 [runtime] (ready)           ID.cellranger-atac_results.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER.ATAC_SETUP_CHUNKS
2022-05-20 05:39:11 [runtime] (run:local)       ID.cellranger-atac_results.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER.ATAC_SETUP_CHUNKS.fork0.chnk0.main
2022-05-20 05:39:13 [runtime] (chunks_complete) ID.cellranger-atac_results.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER.ATAC_SETUP_CHUNKS
2022-05-20 05:39:13 [runtime] (ready)           ID.cellranger-atac_results.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ATAC_MATRIX_COMPUTER.MAKE_ATAC_SHARDS
2022-05-20 05:39:13 [runtime] (run:local)       ID.cellranger-atac_results.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ATAC_MATRIX_COMPUTER.MAKE_ATAC_SHARDS.fork0.split
2022-05-20 05:39:13 [runtime] (split_complete)  ID.cellranger-atac_results.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ATAC_MATRIX_COMPUTER.MAKE_ATAC_SHARDS
2022-05-20 05:39:13 [runtime] (run:local)       ID.cellranger-atac_results.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ATAC_MATRIX_COMPUTER.MAKE_ATAC_SHARDS.fork0.chnk0.main
2022-05-20 05:45:16 [runtime] (update)          ID.cellranger-atac_results.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ATAC_MATRIX_COMPUTER.MAKE_ATAC_SHARDS.fork0 chunks_running
2022-05-20 05:51:15 [runtime] (update)          ID.cellranger-atac_results.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ATAC_MATRIX_COMPUTER.MAKE_ATAC_SHARDS.fork0 chunks_running
2022-05-20 05:57:15 [runtime] (update)          ID.cellranger-atac_results.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ATAC_MATRIX_COMPUTER.MAKE_ATAC_SHARDS.fork0 chunks_running
2022-05-20 06:03:15 [runtime] (update)          ID.cellranger-atac_results.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ATAC_MATRIX_COMPUTER.MAKE_ATAC_SHARDS.fork0 chunks_running
2022-05-20 06:09:17 [runtime] (update)          ID.cellranger-atac_results.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ATAC_MATRIX_COMPUTER.MAKE_ATAC_SHARDS.fork0 chunks_running
2022-05-20 06:15:17 [runtime] (update)          ID.cellranger-atac_results.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ATAC_MATRIX_COMPUTER.MAKE_ATAC_SHARDS.fork0 chunks_running
2022-05-20 06:21:17 [runtime] (update)          ID.cellranger-atac_results.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ATAC_MATRIX_COMPUTER.MAKE_ATAC_SHARDS.fork0 chunks_running
2022-05-20 06:27:16 [runtime] (update)          ID.cellranger-atac_results.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ATAC_MATRIX_COMPUTER.MAKE_ATAC_SHARDS.fork0 chunks_running
2022-05-20 06:33:19 [runtime] (update)          ID.cellranger-atac_results.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ATAC_MATRIX_COMPUTER.MAKE_ATAC_SHARDS.fork0 chunks_running
2022-05-20 06:38:50 [runtime] (chunks_complete) ID.cellranger-atac_results.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ATAC_MATRIX_COMPUTER.MAKE_ATAC_SHARDS
2022-05-20 06:38:50 [runtime] (run:local)       ID.cellranger-atac_results.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ATAC_MATRIX_COMPUTER.MAKE_ATAC_SHARDS.fork0.join
2022-05-20 06:39:00 [runtime] (join_complete)   ID.cellranger-atac_results.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ATAC_MATRIX_COMPUTER.MAKE_ATAC_SHARDS
2022-05-20 06:39:00 [runtime] (ready)           ID.cellranger-atac_results.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ATAC_MATRIX_COMPUTER.ALIGN_ATAC_READS
2022-05-20 06:39:00 [runtime] (run:local)       ID.cellranger-atac_results.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ATAC_MATRIX_COMPUTER.ALIGN_ATAC_READS.fork0.split
2022-05-20 06:39:01 [runtime] (split_complete)  ID.cellranger-atac_results.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ATAC_MATRIX_COMPUTER.ALIGN_ATAC_READS
2022-05-20 06:39:02 [runtime] (run:local)       ID.cellranger-atac_results.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ATAC_MATRIX_COMPUTER.ALIGN_ATAC_READS.fork0.chnk00.main
2022-05-20 06:39:02 [runtime] (run:local)       ID.cellranger-atac_results.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ATAC_MATRIX_COMPUTER.ALIGN_ATAC_READS.fork0.chnk01.main
2022-05-20 06:39:02 [runtime] (run:local)       ID.cellranger-atac_results.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ATAC_MATRIX_COMPUTER.ALIGN_ATAC_READS.fork0.chnk02.main
2022-05-20 06:39:02 [runtime] (run:local)       ID.cellranger-atac_results.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ATAC_MATRIX_COMPUTER.ALIGN_ATAC_READS.fork0.chnk03.main
2022-05-20 06:39:02 [runtime] (run:local)       ID.cellranger-atac_results.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ATAC_MATRIX_COMPUTER.ALIGN_ATAC_READS.fork0.chnk04.main
2022-05-20 06:39:02 [runtime] (run:local)       ID.cellranger-atac_results.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ATAC_MATRIX_COMPUTER.ALIGN_ATAC_READS.fork0.chnk05.main
2022-05-20 06:39:02 [runtime] (run:local)       ID.cellranger-atac_results.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ATAC_MATRIX_COMPUTER.ALIGN_ATAC_READS.fork0.chnk06.main
2022-05-20 06:39:02 [runtime] (run:local)       ID.cellranger-atac_results.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ATAC_MATRIX_COMPUTER.ALIGN_ATAC_READS.fork0.chnk07.main
2022-05-20 06:39:02 [runtime] (run:local)       ID.cellranger-atac_results.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ATAC_MATRIX_COMPUTER.ALIGN_ATAC_READS.fork0.chnk08.main
2022-05-20 06:39:02 [runtime] (run:local)       ID.cellranger-atac_results.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ATAC_MATRIX_COMPUTER.ALIGN_ATAC_READS.fork0.chnk09.main
2022-05-20 06:39:02 [runtime] (run:local)       ID.cellranger-atac_results.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ATAC_MATRIX_COMPUTER.ALIGN_ATAC_READS.fork0.chnk10.main
2022-05-20 06:39:02 [runtime] (run:local)       ID.cellranger-atac_results.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ATAC_MATRIX_COMPUTER.ALIGN_ATAC_READS.fork0.chnk11.main
2022-05-20 06:39:02 [runtime] (run:local)       ID.cellranger-atac_results.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ATAC_MATRIX_COMPUTER.ALIGN_ATAC_READS.fork0.chnk12.main
2022-05-20 06:39:02 [runtime] (run:local)       ID.cellranger-atac_results.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ATAC_MATRIX_COMPUTER.ALIGN_ATAC_READS.fork0.chnk13.main
2022-05-20 06:39:02 [runtime] (run:local)       ID.cellranger-atac_results.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ATAC_MATRIX_COMPUTER.ALIGN_ATAC_READS.fork0.chnk14.main
2022-05-20 06:39:02 [runtime] (run:local)       ID.cellranger-atac_results.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ATAC_MATRIX_COMPUTER.ALIGN_ATAC_READS.fork0.chnk15.main
2022-05-20 06:39:02 [runtime] (run:local)       ID.cellranger-atac_results.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ATAC_MATRIX_COMPUTER.ALIGN_ATAC_READS.fork0.chnk16.main
2022-05-20 06:39:02 [runtime] (run:local)       ID.cellranger-atac_results.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ATAC_MATRIX_COMPUTER.ALIGN_ATAC_READS.fork0.chnk17.main
2022-05-20 06:39:02 [runtime] (run:local)       ID.cellranger-atac_results.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ATAC_MATRIX_COMPUTER.ALIGN_ATAC_READS.fork0.chnk18.main
2022-05-20 06:39:02 [runtime] (run:local)       ID.cellranger-atac_results.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ATAC_MATRIX_COMPUTER.ALIGN_ATAC_READS.fork0.chnk19.main
2022-05-20 06:39:02 [runtime] (run:local)       ID.cellranger-atac_results.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ATAC_MATRIX_COMPUTER.ALIGN_ATAC_READS.fork0.chnk20.main
2022-05-20 06:39:02 [runtime] (run:local)       ID.cellranger-atac_results.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ATAC_MATRIX_COMPUTER.ALIGN_ATAC_READS.fork0.chnk21.main
2022-05-20 06:39:02 [runtime] (run:local)       ID.cellranger-atac_results.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ATAC_MATRIX_COMPUTER.ALIGN_ATAC_READS.fork0.chnk22.main
2022-05-20 06:39:02 [runtime] (run:local)       ID.cellranger-atac_results.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ATAC_MATRIX_COMPUTER.ALIGN_ATAC_READS.fork0.chnk23.main
