Martian Runtime - v4.0.5
Serving UI at http://s002:44212?auth=elQilmI6NCJ7nGEsEE6LJiM_w7OUesVQkBYBMSKot1A

Running preflight checks (please wait)...
2022-05-19 14:31:39 [runtime] (ready)           ID.cellranger-atac_results.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER.ATAC_SETUP_CHUNKS
2022-05-19 14:31:39 [runtime] (run:local)       ID.cellranger-atac_results.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER.ATAC_SETUP_CHUNKS.fork0.chnk0.main
2022-05-19 14:31:41 [runtime] (chunks_complete) ID.cellranger-atac_results.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER.ATAC_SETUP_CHUNKS
2022-05-19 14:31:41 [runtime] (ready)           ID.cellranger-atac_results.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ATAC_MATRIX_COMPUTER.MAKE_ATAC_SHARDS
2022-05-19 14:31:41 [runtime] (run:local)       ID.cellranger-atac_results.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ATAC_MATRIX_COMPUTER.MAKE_ATAC_SHARDS.fork0.split
2022-05-19 14:31:42 [runtime] (split_complete)  ID.cellranger-atac_results.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ATAC_MATRIX_COMPUTER.MAKE_ATAC_SHARDS
2022-05-19 14:31:42 [runtime] (run:local)       ID.cellranger-atac_results.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ATAC_MATRIX_COMPUTER.MAKE_ATAC_SHARDS.fork0.chnk0.main
2022-05-19 14:37:44 [runtime] (update)          ID.cellranger-atac_results.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ATAC_MATRIX_COMPUTER.MAKE_ATAC_SHARDS.fork0 chunks_running
2022-05-19 14:43:44 [runtime] (update)          ID.cellranger-atac_results.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ATAC_MATRIX_COMPUTER.MAKE_ATAC_SHARDS.fork0 chunks_running
2022-05-19 14:49:43 [runtime] (update)          ID.cellranger-atac_results.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ATAC_MATRIX_COMPUTER.MAKE_ATAC_SHARDS.fork0 chunks_running
2022-05-19 14:55:46 [runtime] (update)          ID.cellranger-atac_results.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ATAC_MATRIX_COMPUTER.MAKE_ATAC_SHARDS.fork0 chunks_running
2022-05-19 15:01:46 [runtime] (update)          ID.cellranger-atac_results.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ATAC_MATRIX_COMPUTER.MAKE_ATAC_SHARDS.fork0 chunks_running
2022-05-19 15:07:46 [runtime] (update)          ID.cellranger-atac_results.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ATAC_MATRIX_COMPUTER.MAKE_ATAC_SHARDS.fork0 chunks_running
2022-05-19 15:13:45 [runtime] (update)          ID.cellranger-atac_results.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ATAC_MATRIX_COMPUTER.MAKE_ATAC_SHARDS.fork0 chunks_running
2022-05-19 15:19:48 [runtime] (update)          ID.cellranger-atac_results.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ATAC_MATRIX_COMPUTER.MAKE_ATAC_SHARDS.fork0 chunks_running
2022-05-19 15:25:47 [runtime] (update)          ID.cellranger-atac_results.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ATAC_MATRIX_COMPUTER.MAKE_ATAC_SHARDS.fork0 chunks_running
2022-05-19 15:31:47 [runtime] (update)          ID.cellranger-atac_results.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ATAC_MATRIX_COMPUTER.MAKE_ATAC_SHARDS.fork0 chunks_running
2022-05-19 15:35:00 [runtime] (chunks_complete) ID.cellranger-atac_results.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ATAC_MATRIX_COMPUTER.MAKE_ATAC_SHARDS
2022-05-19 15:35:00 [runtime] (run:local)       ID.cellranger-atac_results.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ATAC_MATRIX_COMPUTER.MAKE_ATAC_SHARDS.fork0.join
2022-05-19 15:35:12 [runtime] (join_complete)   ID.cellranger-atac_results.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ATAC_MATRIX_COMPUTER.MAKE_ATAC_SHARDS
2022-05-19 15:35:12 [runtime] (ready)           ID.cellranger-atac_results.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ATAC_MATRIX_COMPUTER.ALIGN_ATAC_READS
2022-05-19 15:35:12 [runtime] (run:local)       ID.cellranger-atac_results.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ATAC_MATRIX_COMPUTER.ALIGN_ATAC_READS.fork0.split
2022-05-19 15:35:12 [runtime] (split_complete)  ID.cellranger-atac_results.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ATAC_MATRIX_COMPUTER.ALIGN_ATAC_READS
2022-05-19 15:35:12 [runtime] (run:local)       ID.cellranger-atac_results.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ATAC_MATRIX_COMPUTER.ALIGN_ATAC_READS.fork0.chnk00.main
2022-05-19 15:35:12 [runtime] (run:local)       ID.cellranger-atac_results.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ATAC_MATRIX_COMPUTER.ALIGN_ATAC_READS.fork0.chnk01.main
2022-05-19 15:35:12 [runtime] (run:local)       ID.cellranger-atac_results.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ATAC_MATRIX_COMPUTER.ALIGN_ATAC_READS.fork0.chnk02.main
2022-05-19 15:35:12 [runtime] (run:local)       ID.cellranger-atac_results.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ATAC_MATRIX_COMPUTER.ALIGN_ATAC_READS.fork0.chnk03.main
2022-05-19 15:35:12 [runtime] (run:local)       ID.cellranger-atac_results.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ATAC_MATRIX_COMPUTER.ALIGN_ATAC_READS.fork0.chnk04.main
2022-05-19 15:35:12 [runtime] (run:local)       ID.cellranger-atac_results.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ATAC_MATRIX_COMPUTER.ALIGN_ATAC_READS.fork0.chnk05.main
2022-05-19 15:35:12 [runtime] (run:local)       ID.cellranger-atac_results.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ATAC_MATRIX_COMPUTER.ALIGN_ATAC_READS.fork0.chnk06.main
2022-05-19 15:35:12 [runtime] (run:local)       ID.cellranger-atac_results.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ATAC_MATRIX_COMPUTER.ALIGN_ATAC_READS.fork0.chnk07.main
