Number of Reads,534614610
Reads With Valid Barcodes,0.819438
Sequencing Saturation,0.433215
Q30 Bases in CB+UMI,0.94429
Q30 Bases in RNA read,0.94189
Reads Mapped to Genome: Unique+Multiple,0.813489
Reads Mapped to Genome: Unique,0.528809
Reads Mapped to Gene: Unique+Multipe Gene,0.5017
Reads Mapped to Gene: Unique Gene,0.475415
Estimated Number of Cells,9226
Unique Reads in Cells Mapped to Gene,191191105
Fraction of Unique Reads in Cells,0.752236
Mean Reads per Cell,20723
Median Reads per Cell,18958
UMIs in Cells,107411230
Mean UMI per Cell,11642
Median UMI per Cell,10653
Mean Gene per Cell,3228
Median Gene per Cell,3332
Total Gene Detected,23909
