cell,nCounts,nFeatures
01:30:88:16,951,899
02:03:35:21,622,610
02:03:45:33,4182,3784
02:03:73:23,1176,1132
02:04:46:38,1312,1286
02:04:66:36,1183,1151
02:05:46:33,1898,1819
02:05:75:33,447,444
02:07:23:11,2289,2226
02:07:33:32,1444,1398
02:07:85:32,703,677
02:08:24:33,7884,7293
02:09:04:16,2247,2186
02:09:24:37,1008,953
02:10:17:25,1676,1621
02:10:69:28,1038,995
02:12:20:36,884,857
02:12:35:33,1659,1618
02:12:51:32,585,583
02:13:06:36,726,718
02:13:07:36,880,865
02:13:23:28,3216,3145
02:13:46:38,557,543
02:13:79:38,412,406
02:13:80:36,3763,3598
02:14:24:31,1572,1502
02:15:35:31,4543,4385
02:15:51:27,10661,7224
02:16:83:28,4269,3907
02:16:95:18,778,754
02:17:17:33,387,385
02:17:61:21,792,782
02:19:22:11,1646,1600
02:21:25:36,2838,2760
02:22:31:31,736,726
02:23:08:37,1735,1631
02:23:37:34,1112,1087
02:23:54:38,1049,1016
02:24:08:31,652,638
02:24:49:38,1483,1452
02:24:61:38,770,748
02:24:83:28,924,878
02:27:86:31,3669,3449
02:28:55:33,334,331
02:28:72:15,890,852
02:30:63:12,627,613
02:30:68:24,475,461
02:30:70:38,5460,5088
02:30:88:18,1352,1288
02:31:17:24,1930,1872
02:31:78:11,598,584
02:32:27:37,1274,1208
02:32:50:31,1913,1850
02:33:24:32,863,836
02:33:77:36,495,482
02:34:47:33,1589,1483
02:37:94:21,1290,1268
02:40:94:31,1001,979
02:41:12:12,1659,1590
02:41:12:27,4254,4042
02:41:57:31,1266,1202
02:42:23:17,3172,3104
02:42:93:11,1606,1565
02:44:10:22,402,386
02:44:34:13,1527,1390
02:44:54:14,1216,1157
02:46:46:38,1182,1154
02:49:60:25,2479,2286
02:49:94:27,823,794
02:50:06:26,600,593
02:50:07:26,1119,1070
02:50:24:28,804,788
02:50:45:32,1600,1478
02:50:59:37,458,457
02:50:71:37,1517,1422
02:52:15:22,836,796
02:52:59:32,4804,4471
02:54:21:32,341,335
02:54:91:35,837,820
02:55:57:13,3545,3041
02:57:15:13,3528,3434
02:59:37:34,2571,2468
02:63:65:36,3166,2898
02:64:48:28,420,413
02:65:83:14,754,735
02:66:23:22,1347,1315
02:66:83:35,698,673
02:67:47:32,618,598
02:67:54:31,5755,5139
02:68:06:18,1103,1062
02:69:16:12,622,614
02:70:53:28,1228,1204
02:70:59:12,834,797
02:71:29:12,1279,1234
02:72:02:38,1364,1333
02:72:07:14,498,488
02:72:08:13,2495,2455
02:72:09:34,2853,2794
02:73:45:33,398,396
02:74:39:32,1060,1035
02:74:96:34,739,704
02:75:61:22,2001,1848
02:78:80:37,385,382
02:79:46:12,384,378
02:80:02:32,990,956
02:82:17:25,633,629
02:82:93:33,1113,1069
02:84:58:18,4548,4094
02:85:49:31,2849,2713
02:86:02:14,643,640
02:86:36:34,851,805
02:86:90:34,8019,7627
02:87:63:14,506,486
02:87:71:14,1579,1476
02:88:17:38,2746,2580
02:88:74:31,1025,992
02:88:84:34,424,423
02:90:91:13,334,327
02:92:43:28,1643,1588
02:92:58:38,1282,1203
02:94:30:35,2136,2098
02:94:33:16,551,548
02:94:93:36,545,533
02:96:65:38,1040,1001
03:03:96:33,1918,1847
03:05:29:37,6362,5789
03:05:36:35,2737,2432
03:05:46:38,612,605
03:06:41:12,1092,1077
03:06:79:36,4972,3727
03:07:04:31,3241,3082
03:07:04:35,1179,1155
03:07:04:36,2025,1957
03:07:04:37,387,386
03:07:05:16,1314,1230
03:08:76:18,2004,1980
03:08:95:37,1304,1245
03:09:72:21,581,564
03:09:77:23,1156,1134
03:10:68:25,3176,3009
03:11:30:31,2019,1843
03:11:33:28,516,509
03:12:26:31,381,372
03:12:48:16,1081,1043
03:13:16:33,2888,2610
03:13:21:37,792,784
03:13:85:12,984,973
03:14:42:21,5162,4505
03:15:25:14,711,708
03:15:28:31,1099,1060
03:15:49:26,2220,2057
03:15:93:18,1406,1314
03:16:83:25,3055,2869
03:19:04:18,17223,14674
03:19:19:12,1828,1757
03:19:19:18,726,696
03:19:60:36,1764,1733
03:20:03:26,953,917
03:21:63:38,847,819
03:22:19:25,1016,988
03:22:33:14,835,818
03:22:63:35,833,802
03:23:56:14,412,400
03:24:22:37,1211,1182
03:24:61:11,589,572
03:25:20:24,4747,4611
03:27:56:14,1525,1449
03:27:68:23,6054,5589
03:28:26:38,4359,4026
03:30:72:32,2083,1835
03:30:77:37,659,632
03:30:88:16,897,890
03:32:46:36,2763,2494
03:33:76:18,760,743
03:34:38:25,705,701
03:35:29:15,351,341
03:36:11:16,2392,2207
03:36:37:31,12816,11075
03:36:37:32,451,443
03:36:44:28,639,593
03:37:19:35,728,720
03:37:62:16,526,517
03:39:27:24,1913,1867
03:39:68:31,2172,2080
03:39:68:35,1417,1341
03:39:88:33,661,652
03:40:17:33,3596,3402
03:41:10:35,1210,1169
03:41:32:37,709,697
03:41:57:25,3815,3656
03:41:84:34,1214,1162
03:42:19:16,3401,3320
03:42:30:36,1285,1245
03:43:02:36,1542,1513
03:43:12:26,1320,1267
03:43:33:31,948,939
03:44:72:33,2274,2152
03:44:96:38,1157,1129
03:47:03:31,389,382
03:47:29:11,1164,1151
03:47:45:27,413,407
03:47:69:14,360,355
03:48:26:33,770,756
03:48:59:38,2132,2003
03:48:72:34,2927,2545
03:49:05:16,493,476
03:49:37:25,1107,1052
03:49:96:22,1772,1689
03:50:34:37,2178,2130
03:50:78:22,369,355
03:51:03:18,3553,3199
03:51:07:18,1414,1384
03:51:77:26,708,689
03:52:79:11,1597,1526
03:53:08:35,1829,1736
03:53:08:37,358,356
03:54:05:15,453,442
03:54:51:38,1225,1176
03:55:54:31,3079,1599
03:55:69:15,337,328
03:56:03:15,816,804
03:56:75:35,1001,971
03:58:13:18,1102,1079
03:58:50:12,3984,3719
03:59:11:28,1025,1007
03:59:17:32,529,524
03:59:61:12,1082,1016
03:59:67:23,508,494
03:60:26:32,2225,2144
03:60:44:33,1150,1084
03:60:71:35,1021,984
03:61:55:38,343,335
03:62:46:32,681,671
03:62:80:28,753,746
03:63:46:37,1249,1209
03:63:85:33,1180,1124
03:64:05:15,965,941
03:64:18:15,621,602
03:64:29:31,476,471
03:66:44:11,1183,1155
03:67:70:37,757,750
03:67:92:18,1664,1540
03:70:50:16,1021,971
03:71:80:34,2212,2175
03:72:12:31,1152,1093
03:72:22:32,665,648
03:72:50:33,1433,1363
03:72:53:31,339,334
03:73:32:21,4476,4246
03:73:62:13,4856,4548
03:73:68:22,477,470
03:73:92:34,1068,1040
03:75:46:31,4790,4532
03:76:45:33,647,619
03:76:50:12,3577,3303
03:76:78:32,779,765
03:77:58:38,8710,7275
03:78:12:38,2999,2918
03:78:19:12,1121,1052
03:79:03:31,778,745
03:79:18:27,738,711
03:80:05:28,2137,1971
03:80:90:25,2238,2159
03:81:30:14,569,537
03:82:19:35,386,381
03:82:69:17,493,481
03:82:76:33,731,718
03:83:34:35,763,749
03:84:78:33,659,650
03:85:12:32,517,503
03:85:22:11,3816,3535
03:85:33:38,555,550
03:85:43:18,503,494
03:85:46:37,810,783
03:86:28:26,2367,2327
03:86:81:17,1611,1464
03:87:10:21,1458,1426
03:87:58:31,1018,973
03:87:61:33,874,851
03:88:05:36,755,724
03:88:67:33,2665,2432
03:89:11:36,1248,1180
03:89:30:33,6380,5803
03:89:32:32,1187,1174
03:90:32:33,4801,4257
03:90:66:25,2945,2551
03:91:40:36,2475,2428
03:92:72:12,605,598
03:94:05:11,478,476
03:94:48:23,1026,1005
03:95:02:32,666,646
03:95:20:13,489,465
03:95:86:38,3973,3788
03:95:93:35,1830,1742
03:96:08:16,1324,1261
03:96:58:32,775,771
04:03:24:28,1349,1291
04:03:81:33,354,350
04:06:10:34,416,412
04:07:15:24,672,668
04:07:49:28,1494,1451
04:09:55:16,1257,1235
04:12:03:38,588,564
04:12:55:18,781,767
04:13:74:31,545,545
04:14:78:23,2407,2287
04:15:32:14,641,618
04:16:16:31,663,657
04:16:31:36,813,799
04:16:36:33,2528,2441
04:18:46:36,359,353
04:19:12:18,911,887
04:19:47:16,619,600
04:20:47:36,879,869
04:20:63:33,1327,1249
04:21:09:11,456,450
04:21:24:28,1546,1441
04:21:59:21,1007,954
04:22:75:28,1667,1635
04:23:03:35,403,401
04:24:34:28,3082,2997
04:27:39:28,2044,2014
04:28:76:33,560,558
04:29:37:32,1404,1384
04:29:38:34,1417,1364
04:29:71:36,366,362
04:30:23:28,657,650
04:32:17:22,2363,2279
04:32:75:33,1584,1529
04:33:82:33,562,552
04:34:75:23,1208,1202
04:35:19:18,5842,5604
04:35:70:38,5113,4843
04:36:44:28,4856,4471
04:36:59:35,2416,2293
04:36:90:37,547,535
04:39:15:33,4570,4410
04:39:16:22,3905,3559
04:39:42:23,858,846
04:39:46:28,2847,2551
04:39:47:38,1717,1617
04:40:56:34,3877,3417
04:41:59:13,2783,2617
04:41:71:33,489,487
04:41:79:27,2368,2073
04:42:84:12,12989,12397
04:43:47:22,1962,1788
04:43:85:11,1231,1181
04:44:60:25,1128,1115
04:46:10:12,611,594
04:46:18:34,335,330
04:47:22:38,978,926
04:47:82:32,1558,1478
04:47:94:18,2472,2115
04:49:68:14,582,570
04:50:04:36,2049,2007
04:50:15:12,500,486
04:51:16:38,1224,1191
04:51:24:23,3064,2916
04:52:17:23,429,416
04:53:84:31,1616,1478
04:54:57:12,406,395
04:56:28:14,746,724
04:58:51:16,2111,2018
04:59:13:21,2985,2746
04:60:16:27,762,734
04:60:58:33,347,335
04:60:74:33,446,440
04:60:77:34,1485,1367
04:62:41:33,2879,2677
04:62:54:31,1982,1958
04:63:56:26,722,709
04:63:58:22,2885,2845
04:63:71:38,1312,1287
04:63:84:36,2631,2581
04:65:11:35,762,742
04:65:24:34,623,610
04:65:30:27,552,538
04:65:37:18,527,513
04:66:53:35,481,471
04:67:48:35,567,541
04:67:53:23,3270,3090
04:69:79:31,4149,3772
04:70:18:32,753,735
04:70:28:21,1357,1319
04:72:10:18,1008,986
04:73:10:23,2279,2245
04:74:39:38,1231,1199
04:74:41:25,557,541
04:75:12:37,537,513
04:75:80:38,758,730
04:76:24:38,465,458
04:76:65:22,2198,1604
04:78:07:34,448,430
04:78:51:31,404,400
04:79:32:35,893,868
04:79:50:37,2088,2021
04:79:54:31,1062,1015
04:80:12:36,988,963
04:80:51:21,804,767
04:82:12:11,792,783
04:84:96:23,2350,2243
04:85:07:14,24758,21113
04:85:56:13,853,835
04:85:74:12,721,715
04:86:40:34,1344,1305
04:86:45:21,2574,2512
04:87:54:12,533,519
04:88:59:33,752,734
04:89:55:38,2627,2534
04:90:32:37,1636,1552
04:90:84:36,797,764
04:91:70:28,1696,1671
04:91:78:38,911,898
04:93:21:28,763,747
04:94:40:37,1511,1486
04:94:73:31,1845,1774
04:94:81:34,363,354
04:94:96:37,1515,1485
04:95:67:31,4100,3838
04:96:48:11,1727,1657
04:96:88:28,3431,3195
04:96:96:38,825,799
05:03:12:38,7749,6938
05:03:37:17,883,818
05:03:63:33,1049,1016
05:04:53:38,588,570
05:05:16:28,8527,7601
05:06:69:18,1408,1334
05:06:71:33,447,430
05:06:86:21,1410,1390
05:06:91:38,2628,2426
05:07:27:26,1876,1840
05:07:30:15,3005,2809
05:07:62:18,2846,2772
05:08:03:16,5514,5073
05:08:45:38,2505,2406
05:08:53:31,7972,7647
05:08:71:31,780,754
05:08:73:32,638,629
05:09:30:34,983,934
05:10:29:32,3242,2873
05:12:69:34,997,977
05:13:61:38,813,799
05:14:90:38,929,907
05:15:17:37,1379,1359
05:16:09:31,463,453
05:16:24:32,1375,1343
05:16:50:21,1145,1094
05:16:78:24,1092,1062
05:17:37:18,1950,1911
05:17:85:31,1032,977
05:18:04:23,3304,3098
05:18:04:25,742,732
05:18:31:33,1238,1195
05:18:34:21,475,465
05:18:96:25,1306,1249
05:20:17:27,1149,1119
05:20:36:25,4536,4275
05:20:44:33,4054,3766
05:20:59:15,2538,2460
05:20:63:32,695,660
05:20:96:33,575,568
05:21:53:35,1700,1655
05:22:27:13,1191,1143
05:22:51:36,613,589
05:22:81:28,2705,2657
05:23:12:28,2282,1945
05:24:49:24,1182,1144
05:25:51:32,414,412
05:27:06:13,1256,1233
05:27:34:37,9280,8991
05:27:60:15,2220,2071
05:27:83:31,3142,3080
05:30:45:28,443,439
05:30:84:16,2588,2455
05:31:50:33,6675,6056
05:31:51:16,2387,2339
05:31:57:33,2366,2341
05:32:21:18,1208,1194
05:32:21:32,489,473
05:33:54:37,1094,1066
05:33:68:14,371,358
05:33:83:12,1701,1651
05:34:78:36,651,631
05:34:92:34,1060,1039
05:34:95:36,1562,1482
05:36:05:37,3330,3093
05:37:11:14,522,513
05:37:50:34,11074,10323
05:39:13:38,848,806
05:39:21:17,1746,1701
05:39:85:26,8920,8099
05:39:85:27,4327,4083
05:40:51:38,425,421
05:40:63:17,688,674
05:40:73:18,2521,2358
05:40:84:13,1774,1614
05:41:36:11,6499,5368
05:41:63:31,1739,1648
05:41:70:15,49457,36215
05:42:12:33,2279,2221
05:43:47:26,2537,2463
05:43:60:38,2741,2693
05:44:09:38,2359,2237
05:44:56:13,6125,5745
05:44:78:22,394,392
05:46:39:11,1340,1258
05:46:49:27,1516,1448
05:46:82:31,623,593
05:48:08:33,461,447
05:48:37:27,357,349
05:48:83:31,357,346
05:49:10:38,366,354
05:49:38:38,340,334
05:49:48:34,367,357
05:49:49:36,4222,4104
05:49:70:38,1064,1016
05:50:15:11,413,410
05:50:15:12,1454,1336
05:50:15:15,427,414
05:50:15:16,1383,1282
05:50:20:31,1277,1216
05:50:33:26,458,453
05:50:37:34,4187,3928
05:50:58:38,670,625
05:50:63:11,2968,2842
05:51:02:36,396,381
05:51:28:11,4163,4047
05:51:28:12,1851,1703
05:51:28:13,1694,1633
05:51:28:15,2797,2729
05:51:28:16,443,429
05:51:28:17,1326,1264
05:51:31:38,999,949
05:51:62:37,2074,2004
05:52:15:21,3074,2870
05:52:42:31,3858,3526
05:52:53:21,13748,11369
05:52:59:21,720,705
05:52:80:33,1613,1583
05:52:88:31,1883,1787
05:53:56:18,3477,3256
05:53:63:36,10981,9872
05:54:28:34,1559,1513
05:55:45:24,2065,2019
05:56:18:35,1569,1481
05:57:23:11,1018,996
05:57:36:32,773,742
05:57:47:32,891,835
05:57:58:18,739,732
05:58:05:37,2337,2216
05:58:29:25,871,841
05:58:73:31,1901,1785
05:58:90:31,522,511
05:60:19:36,958,928
05:60:65:34,740,727
05:62:17:13,1624,1546
05:62:63:38,1470,1419
05:63:27:32,761,752
05:63:43:36,2395,2208
05:64:24:36,1530,1451
05:64:25:38,523,510
05:64:26:37,582,564
05:66:02:33,1124,1098
05:66:51:21,2812,2442
05:67:42:23,1194,1137
05:67:81:25,1312,1246
05:68:32:23,1602,1558
05:68:48:37,2204,2093
05:70:13:31,880,850
05:70:62:28,910,896
05:71:66:27,5684,4858
05:71:83:18,444,437
05:72:28:32,567,547
05:72:30:27,3396,3052
05:72:85:36,1076,1052
05:72:96:17,879,860
05:73:34:37,996,956
05:73:42:35,2281,2139
05:73:47:26,1174,1113
05:73:58:32,3665,3283
05:74:53:38,4256,3785
05:75:83:22,1178,1157
05:77:12:27,6223,5493
05:77:29:27,591,584
05:78:73:23,3786,3710
05:78:74:16,4595,4507
05:79:13:38,1238,1192
05:81:49:24,2151,1956
05:81:51:28,904,876
05:81:66:35,501,490
05:83:61:12,7177,6504
05:85:06:33,4071,3877
05:85:22:21,526,520
05:85:23:22,4599,4305
05:85:68:21,882,865
05:87:69:13,4674,4529
05:88:17:35,594,584
05:88:41:34,1377,1318
05:88:57:16,3973,3708
05:88:62:12,507,474
05:89:65:36,1379,1363
05:90:54:34,2310,2115
05:90:62:12,3349,3221
05:90:65:32,909,890
05:91:09:28,4068,3824
05:91:80:14,1209,1187
05:91:84:12,2907,2617
05:92:25:35,521,513
05:93:20:36,1104,1082
05:95:05:38,445,444
05:95:49:22,659,649
05:96:06:26,2833,2663
05:96:48:32,495,486
06:03:32:32,3823,3749
06:03:55:33,913,901
06:03:75:37,1897,1873
06:05:67:35,1892,1742
06:08:19:36,611,592
06:08:47:35,1041,982
06:08:54:35,1520,1482
06:08:63:35,574,567
06:09:29:18,553,541
06:11:51:16,690,684
06:11:69:38,1000,935
06:11:84:16,1127,1086
06:12:25:27,684,648
06:12:33:38,1852,1774
06:12:46:17,2070,1959
06:12:54:14,1636,1529
06:13:27:35,615,608
06:14:93:31,1498,1405
06:16:43:24,1858,1773
06:17:18:14,5398,5220
06:17:69:22,368,358
06:18:03:34,501,489
