cell,nCounts,nFeatures
1,1884,163
2,1233,1102
3,1722,1651
4,1228,1132
5,801,718
6,465,427
7,470,451
8,2627,2437
9,393,373
10,2145,1976
11,595,549
12,805,740
13,410,380
14,421,374
15,692,614
16,1311,1144
17,1752,1665
18,953,878
19,720,644
20,1315,1224
21,580,523
22,1151,976
23,757,707
24,1612,1389
25,1041,879
26,570,532
27,1214,1120
28,743,708
29,2439,2316
30,923,874
31,3716,3259
32,3164,2885
33,26168,23364
34,1940,1806
35,666,614
36,2130,1704
37,887,792
38,755,687
39,1287,1203
40,875,820
41,1828,1612
42,6291,5380
43,1548,1433
44,599,546
45,562,519
46,1171,913
47,2966,2538
48,974,912
49,1001,929
50,3087,2778
51,1128,1011
52,1452,996
53,1329,1216
54,1191,995
55,916,835
56,977,860
57,937,828
58,925,883
59,1247,993
60,1537,1303
61,408,399
62,755,684
63,1486,1357
64,539,499
65,1220,1095
66,1481,1253
67,506,491
68,606,561
69,434,418
70,3175,3015
71,917,840
72,602,561
73,1313,1181
74,651,612
75,486,452
76,490,467
77,3016,2515
78,2684,2435
79,683,637
80,1074,947
81,1254,1155
82,2056,1915
83,814,769
84,835,783
85,6716,6027
86,1380,1275
87,1339,1219
88,574,541
89,1407,1134
90,570,516
91,1137,1017
92,1850,1366
93,1398,1157
94,942,878
95,1054,930
96,1763,1629
97,984,892
98,785,723
99,678,626
100,479,445
101,436,406
102,1326,1190
103,727,671
104,2777,2541
105,1126,981
106,1169,1100
107,4649,4227
108,380,350
109,973,906
110,1725,1227
111,889,814
112,689,643
113,431,401
114,1277,918
115,409,378
116,1220,1025
117,4081,3440
118,672,602
119,623,575
120,1074,1003
121,2271,1989
122,497,470
123,464,435
124,628,584
125,583,546
126,488,463
127,710,655
128,2527,2177
129,1138,979
130,1892,1510
131,1193,987
132,2207,1771
133,978,876
134,1283,1098
135,555,530
136,378,363
137,765,700
138,14957,12930
139,1971,1630
140,2623,2463
141,650,599
142,753,691
143,778,702
144,533,494
145,1139,1022
146,565,537
147,633,615
148,560,520
149,664,622
150,788,715
151,650,600
152,691,616
153,1510,1285
154,1036,961
155,595,561
156,2025,1837
157,610,567
158,1682,1592
159,1167,1041
160,1109,1040
161,409,401
162,942,884
163,1110,997
164,1397,1149
165,497,467
166,796,710
167,859,805
168,1782,1620
169,418,388
170,775,720
171,623,571
172,545,516
173,652,610
174,960,833
175,1218,1011
176,1463,1348
177,1510,1411
178,1055,979
179,1433,1289
180,502,454
181,1670,1324
182,489,458
183,808,755
184,1501,1289
185,3310,2567
186,1406,1267
187,1817,1662
188,747,672
189,1308,727
190,820,736
191,670,629
192,910,838
193,1280,1196
194,1115,978
195,686,625
196,586,548
197,475,458
198,2098,1785
199,1056,928
200,1161,1084
201,1166,1072
202,2782,2582
203,503,468
204,1278,1183
205,488,469
206,1066,999
207,598,562
208,825,760
209,682,638
210,418,387
211,1228,1058
212,11298,10368
213,816,766
214,651,595
215,813,771
216,2516,2288
217,422,404
218,514,465
219,688,634
220,1482,1375
221,429,401
222,3799,3346
223,1112,1029
224,1584,1464
225,503,473
226,443,415
227,934,825
228,434,410
229,489,450
230,494,479
231,417,396
232,1674,1584
233,21299,19161
234,1095,944
235,1497,1375
236,600,559
237,402,381
238,1029,952
239,593,538
240,610,584
241,911,845
242,1475,1221
243,1636,1545
244,1459,1215
245,1088,969
246,3026,2950
247,1121,994
248,863,776
249,3029,2865
250,758,691
251,1403,1240
252,429,396
253,730,676
254,4744,4015
255,554,505
256,428,412
257,9322,8483
258,777,697
259,401,383
260,787,761
261,749,682
262,1137,1007
263,1763,1620
264,743,687
265,1893,1661
266,15799,13725
267,812,768
268,533,523
269,1393,1212
270,401,371
271,3432,3008
272,1339,1238
273,721,682
274,743,717
275,16323,14217
276,1601,1353
277,1911,1541
278,2338,2085
279,528,506
280,685,648
281,542,486
282,512,491
283,862,779
284,1000,918
285,985,858
286,1069,1005
287,809,737
288,575,535
289,946,842
290,1926,1567
291,574,561
292,480,458
293,1665,1572
294,785,739
295,871,828
296,1723,1586
297,545,511
298,610,543
299,4052,3242
300,3966,3027
301,1987,1544
302,1155,982
303,538,513
304,741,695
305,645,626
306,907,847
307,385,368
308,1291,1031
309,1117,1030
310,969,901
311,1006,927
312,1010,937
313,4152,3029
314,1395,1287
315,3523,3039
316,517,487
317,877,828
318,381,360
319,1580,1287
320,1523,1243
321,1253,986
322,710,627
323,1704,1530
324,638,582
325,6574,5853
326,1187,965
327,1240,1095
328,426,391
329,1343,1126
330,2641,2157
331,778,721
332,366,351
333,842,807
334,593,567
335,1425,1359
336,1486,1061
337,879,788
338,429,383
339,1545,1411
340,786,751
341,571,520
342,497,466
343,398,381
344,2897,2575
345,463,435
346,1018,945
347,938,859
348,572,528
349,1547,1385
350,1432,1090
351,3438,3105
352,546,528
353,871,813
354,840,792
355,1110,1046
356,624,573
357,412,374
358,893,827
359,476,410
360,1757,1527
361,1293,1184
362,1144,1065
363,561,502
364,476,441
365,534,485
366,1371,1267
367,945,881
368,861,794
369,1978,1733
370,922,817
371,624,600
372,11081,9977
373,1133,1054
374,1369,1158
375,915,804
376,863,816
377,587,549
378,921,838
379,1865,1693
380,2446,2251
381,539,504
382,952,864
383,1676,1511
384,1317,1227
385,467,413
386,749,647
387,2637,2254
388,1722,946
389,1846,1686
390,643,551
391,1494,1420
392,2922,2692
393,1376,771
394,1761,1612
395,694,662
396,675,632
397,1470,1330
398,770,700
399,576,484
400,2389,2183
401,1409,1275
402,1919,1046
403,700,657
404,381,355
405,2016,1690
406,655,611
407,759,712
408,618,546
409,778,731
410,847,764
411,3019,2747
412,1430,1345
413,652,619
414,2692,2447
415,552,475
416,410,382
417,2049,1879
418,1083,990
419,1476,1190
420,1179,1103
421,1097,951
422,1240,1107
423,1291,1081
424,1242,1169
425,1487,1182
426,15113,13772
427,2016,1642
428,1182,1087
429,1286,1201
430,1005,905
431,504,464
432,769,707
433,695,647
434,1519,1346
435,914,846
436,2048,1888
437,1712,1539
438,582,550
439,972,949
440,1134,1055
441,379,357
442,3638,3209
443,1195,1124
444,847,774
445,1446,1329
446,2907,2711
