cell,nCounts,nFeatures
1,2066,1533
2,654,542
3,563,458
4,476,369
5,332,253
6,294,239
7,465,351
8,595,510
9,322,241
10,479,359
11,1065,861
12,337,278
13,1093,809
14,431,365
15,795,612
16,1293,966
17,478,370
18,762,551
19,664,565
20,429,336
21,787,594
22,279,208
23,759,545
24,503,389
25,854,655
26,290,211
27,644,497
28,1229,790
29,1208,901
30,504,421
31,251,189
32,933,717
33,1548,1157
34,829,681
35,287,233
36,466,358
37,331,282
38,822,677
39,1526,1177
40,1725,1420
41,400,340
42,327,248
43,2501,1782
44,328,242
45,873,694
46,983,753
47,384,294
48,584,469
49,663,543
50,452,283
51,605,495
52,479,340
53,1667,1263
54,889,650
55,427,359
56,370,260
57,473,389
58,492,315
59,862,695
60,773,581
61,342,234
62,311,202
63,434,387
64,413,227
65,540,413
66,403,313
67,409,352
68,262,211
69,337,285
70,258,194
71,1167,858
72,271,232
73,1189,993
74,390,305
75,506,367
76,702,564
77,646,476
78,277,246
79,354,296
80,476,381
81,365,254
82,444,359
83,929,775
84,452,372
85,363,276
86,1091,812
87,614,426
88,588,443
89,568,486
90,399,316
91,531,432
92,264,208
93,232,207
94,219,184
95,482,373
96,208,159
97,427,329
98,674,559
99,496,410
100,969,707
101,571,443
102,1755,1348
103,533,446
104,712,565
105,740,595
106,672,573
107,430,331
108,451,338
109,1788,1363
110,800,591
111,837,654
112,636,519
113,925,691
114,955,748
115,361,281
116,622,481
117,367,286
118,1798,1361
119,620,490
120,400,256
121,347,269
122,898,734
123,501,375
124,1264,963
125,846,709
126,1209,943
127,498,386
128,1131,790
129,666,520
130,335,265
131,346,291
132,854,663
133,297,219
134,958,783
135,325,269
136,866,638
137,504,395
138,344,200
139,675,529
140,276,197
141,396,297
142,348,245
143,268,190
144,647,508
145,282,212
146,327,267
147,505,369
148,342,283
149,411,319
150,696,505
151,302,240
152,595,459
153,322,249
154,1122,840
155,669,490
156,289,245
157,574,421
158,458,339
159,1368,1019
160,845,674
161,292,244
162,336,246
163,4062,2842
164,735,574
165,2507,1785
166,446,364
167,660,435
168,344,288
169,253,196
170,320,251
171,490,367
172,1267,957
173,906,675
174,610,462
175,490,353
176,551,417
177,557,403
178,290,231
179,1141,863
180,1356,1015
181,1233,929
182,381,298
183,559,433
184,237,200
185,418,339
186,974,752
187,1307,1000
188,413,315
189,866,661
190,1777,1338
191,293,237
192,386,303
193,355,246
194,992,776
195,331,266
196,646,364
197,520,417
198,847,676
199,464,366
200,346,283
201,377,313
202,590,453
203,442,317
204,457,308
205,847,662
206,550,449
207,242,178
208,725,546
209,324,253
210,361,281
211,900,676
212,1320,1023
213,306,214
214,625,501
215,756,576
216,964,733
217,664,533
218,358,287
219,437,341
220,475,259
221,867,655
222,863,672
223,252,197
224,470,366
225,492,413
226,1182,905
227,374,226
228,776,603
229,932,696
230,814,674
231,1263,1095
232,819,627
233,992,751
234,764,589
235,466,375
236,450,371
237,832,661
238,590,418
239,314,230
240,457,353
241,966,758
242,582,419
243,605,420
244,212,184
245,397,284
246,582,435
247,633,523
248,387,304
249,694,526
250,470,331
251,1019,804
252,524,409
253,221,184
254,335,276
255,784,415
256,755,610
257,487,368
258,1553,1139
259,615,542
260,1205,889
261,666,530
262,846,637
263,389,299
264,668,501
265,448,344
266,607,452
267,399,280
268,411,342
269,1001,727
270,1336,969
271,2413,1717
272,3562,2609
273,641,512
274,913,717
275,631,492
276,845,627
277,414,314
278,395,301
279,983,778
280,367,289
281,219,160
282,1855,1387
283,520,352
284,334,280
285,1197,918
286,673,539
287,1564,1285
288,363,266
289,1288,839
290,399,323
291,606,496
292,470,315
293,507,337
294,546,446
295,771,585
296,898,683
297,841,621
298,769,543
299,474,342
300,307,252
301,733,532
302,462,305
303,269,202
304,986,734
305,211,165
306,1113,844
307,535,375
308,695,552
309,289,232
310,388,303
311,760,610
312,651,515
313,679,535
314,771,604
315,481,398
316,680,562
317,760,596
318,1030,774
319,537,419
320,689,528
321,1336,1060
322,1245,957
323,575,455
324,337,263
325,1018,760
326,605,479
327,403,314
328,1445,1073
329,331,256
330,656,364
331,1193,906
332,279,182
333,626,462
334,451,356
335,298,251
336,774,591
337,1113,840
338,601,479
339,430,316
340,1352,1012
341,1229,923
342,797,616
343,1570,1201
344,1435,1108
345,425,322
346,1033,796
347,261,189
348,954,808
349,757,504
350,710,561
351,273,229
352,404,245
353,311,262
354,779,616
355,1251,1011
356,236,190
357,502,357
358,385,277
359,720,570
360,357,289
361,297,240
362,790,598
363,432,323
364,334,253
365,793,466
366,516,294
367,780,589
368,934,756
369,305,242
370,655,504
371,436,347
372,1245,946
373,345,263
374,1026,761
375,550,456
376,552,463
377,893,720
378,927,710
379,725,460
380,418,332
381,1453,1095
382,653,521
383,316,236
384,607,495
385,729,579
386,674,512
387,505,383
388,407,292
389,395,235
390,527,375
391,508,383
392,272,214
393,320,263
394,461,320
395,462,357
396,582,455
397,558,426
398,301,237
399,484,381
400,485,391
401,1565,1156
402,590,391
403,1471,1104
404,559,407
405,238,169
406,2464,1781
407,718,555
408,540,403
409,1657,1269
410,863,586
411,577,470
412,207,157
413,521,416
414,799,609
415,284,226
416,361,250
417,1156,888
418,494,371
419,2045,1485
420,863,651
421,558,440
422,875,664
423,311,229
424,1786,1335
425,463,371
426,687,525
427,818,649
428,359,248
429,509,410
430,445,334
431,519,422
432,890,639
433,1009,795
434,1146,869
435,1880,1343
436,335,232
