cell,nCounts,nFeatures
02:03:73:23,4182,3784
02:04:46:38,1176,1132
02:07:37:44,419,414
02:07:45:54,543,537
02:07:85:32,1312,1286
02:08:24:33,1183,1151
02:09:04:16,1898,1819
02:09:24:37,447,444
02:12:20:36,2289,2226
02:12:51:32,1444,1398
02:13:07:36,7884,7293
02:13:62:54,824,813
02:13:68:51,959,945
02:13:68:52,3593,3460
02:13:68:53,1295,1260
02:14:24:31,2247,2186
02:14:59:52,763,746
02:15:46:54,1404,1360
02:15:51:27,1008,953
02:15:57:42,975,954
02:16:27:41,577,570
02:16:55:43,1303,1285
02:16:83:28,1676,1621
02:16:95:18,1038,995
02:17:90:42,770,752
02:19:22:11,884,857
02:22:31:31,1659,1618
02:22:48:43,666,654
02:23:08:37,585,583
02:23:37:34,726,718
02:24:08:31,880,865
02:24:26:51,738,723
02:24:58:54,1683,1647
02:24:61:38,3216,3145
02:24:71:42,471,463
02:28:72:15,3763,3598
02:29:72:41,647,646
02:29:72:44,1061,1046
02:30:58:41,462,459
02:30:63:12,1572,1502
02:30:68:24,4543,4385
02:30:88:18,10661,7224
02:31:17:24,4269,3907
02:31:20:54,601,587
02:31:78:11,778,754
02:32:31:54,832,815
02:32:50:31,792,782
02:33:24:32,1646,1600
02:33:77:36,2838,2760
02:34:20:43,483,474
02:34:47:33,736,726
02:37:94:21,1735,1631
02:39:31:43,429,422
02:40:47:41,746,730
02:40:94:31,1112,1087
02:41:02:42,1401,1380
02:41:12:12,1049,1016
02:41:12:27,652,638
02:41:26:41,602,598
02:41:26:42,838,823
02:41:26:43,1029,1019
02:41:26:44,882,869
02:41:57:31,1483,1452
02:42:94:43,574,569
02:43:39:51,594,579
02:43:55:53,640,630
02:44:51:52,1524,1483
02:44:54:14,3669,3449
02:44:71:52,912,890
02:44:71:54,1398,1349
02:44:73:51,985,953
02:46:94:44,402,398
02:47:25:52,647,642
02:47:32:53,762,746
02:47:51:52,1734,1660
02:47:75:51,730,712
02:49:08:44,522,519
02:49:44:51,712,700
02:49:60:25,890,852
02:49:65:53,782,766
02:49:71:52,1077,1058
02:49:94:27,627,613
02:50:06:26,475,461
02:50:07:26,5460,5088
02:50:19:53,1046,1015
02:50:45:32,1930,1872
02:50:55:53,977,947
02:50:59:37,598,584
02:50:65:42,994,983
02:51:12:43,726,714
02:51:19:42,1059,1045
02:51:19:44,465,461
02:51:26:53,651,640
02:51:42:41,1665,1645
02:51:79:42,737,729
02:51:79:43,860,852
02:51:79:44,830,823
02:52:15:22,1274,1208
02:52:59:32,1913,1850
02:53:96:52,970,949
02:54:71:44,886,880
02:56:04:42,492,487
02:56:96:43,1483,1468
02:56:96:44,472,467
02:58:68:53,1193,1139
02:59:37:34,1290,1268
02:59:55:54,703,688
02:60:51:53,1097,1077
02:62:60:53,741,722
02:63:65:36,1001,979
02:64:48:28,1659,1590
02:65:16:42,1320,1305
02:65:83:14,4254,4042
02:66:23:22,1266,1202
02:66:47:42,741,729
02:66:83:35,3172,3104
02:67:16:53,823,808
02:67:16:54,668,657
02:67:47:32,1606,1565
02:68:03:54,975,955
02:68:24:53,645,629
02:71:09:41,566,559
02:71:22:43,1380,1362
02:71:22:44,509,507
02:71:29:12,1216,1157
02:71:32:41,434,426
02:72:02:38,1182,1154
02:72:07:14,2479,2286
02:72:09:34,600,593
02:72:17:42,598,592
02:72:69:52,684,668
02:72:86:52,752,737
02:73:03:53,1429,1376
02:73:45:33,1119,1070
02:73:82:54,782,766
02:74:28:51,606,595
02:74:45:54,1516,1493
02:74:96:34,804,788
