cell,nCounts,nFeatures
01:30:88:16,305,149
02:03:35:21,530,341
02:03:73:23,317,200
02:04:46:38,303,234
02:04:66:36,200,168
02:05:46:33,329,233
02:07:23:11,344,182
02:07:33:32,287,197
02:07:85:32,345,292
02:08:24:33,330,294
02:09:04:16,367,276
02:09:24:37,228,192
02:10:69:28,486,313
02:12:20:36,688,469
02:12:51:32,474,388
02:13:07:36,1002,652
02:13:23:28,682,293
02:13:62:54,389,249
02:13:68:51,549,328
02:13:68:52,1077,766
02:13:68:53,421,351
02:13:68:54,569,230
02:13:79:38,478,373
02:14:24:31,781,612
02:14:42:26,200,147
02:15:35:31,297,235
02:15:51:27,210,168
02:16:83:28,537,361
02:16:95:18,305,211
02:17:17:33,638,429
02:19:22:11,376,252
02:22:31:31,543,435
02:23:08:37,376,300
02:24:08:31,519,404
02:24:26:51,366,297
02:24:49:38,923,700
02:24:58:54,432,260
02:24:61:38,349,285
02:27:86:31,422,349
02:28:55:33,370,284
02:28:72:15,377,279
02:30:63:12,550,394
02:30:68:24,469,336
02:30:88:18,1251,463
02:31:17:24,706,489
02:31:78:11,396,295
02:33:24:32,467,384
02:33:77:36,717,472
02:37:94:21,598,377
02:40:94:31,425,367
02:41:12:27,425,319
02:41:57:31,341,279
02:42:23:17,793,400
02:44:10:22,393,263
02:44:34:13,371,248
02:44:51:52,274,220
02:44:54:14,416,225
02:44:71:52,269,233
02:44:71:54,388,326
02:44:73:51,469,387
02:47:32:53,441,347
02:47:51:52,982,764
02:47:75:51,318,261
02:48:37:21,462,285
02:49:44:51,525,408
02:49:94:27,461,326
02:50:06:26,350,267
02:50:07:26,962,643
02:50:24:28,543,376
02:50:45:32,508,412
02:50:55:52,327,233
02:50:55:53,430,335
02:50:59:37,441,340
02:50:71:37,274,244
02:51:26:53,292,257
02:52:59:32,366,323
02:53:59:52,368,291
02:54:21:32,298,248
02:57:15:13,494,262
02:58:68:53,443,232
02:59:37:34,333,268
02:60:51:53,444,352
02:63:65:36,449,351
02:64:48:28,728,344
02:65:83:14,363,298
02:66:23:22,846,349
02:66:83:35,369,312
02:67:47:32,418,343
02:67:54:31,1148,770
02:68:06:18,541,341
02:68:24:53,370,286
02:69:16:12,340,191
02:70:53:28,324,216
02:70:59:12,551,294
02:71:29:12,591,263
02:72:02:38,510,396
02:72:07:14,361,279
02:72:69:52,410,299
02:72:86:52,230,205
02:73:03:53,441,343
02:73:45:33,294,232
02:74:28:51,271,231
02:74:45:54,355,241
02:74:96:34,398,288
02:75:61:22,456,247
02:75:68:53,439,322
02:76:94:52,306,261
02:78:77:51,627,377
02:78:80:37,370,306
02:80:02:32,264,198
02:80:12:53,328,273
02:82:17:25,486,310
02:82:54:54,678,432
02:82:93:33,251,199
02:84:42:51,434,274
02:84:58:18,756,360
02:86:02:14,338,161
02:86:28:53,331,269
02:86:90:34,468,360
02:87:18:51,444,261
02:87:50:51,1709,1248
02:87:50:54,392,319
02:87:63:14,602,447
02:87:68:52,481,346
02:87:71:14,568,416
02:88:17:38,320,241
02:88:74:31,267,236
02:88:84:34,499,409
02:91:57:51,457,313
02:91:86:52,275,238
02:92:18:54,460,271
02:92:43:28,548,349
02:93:88:53,336,204
02:94:33:16,345,258
02:94:79:51,455,372
02:94:93:36,693,456
02:95:07:54,368,283
02:95:19:53,350,304
02:96:80:53,421,338
03:03:50:53,494,386
03:03:54:53,348,248
03:05:29:37,348,269
03:05:36:35,232,202
03:05:46:38,739,462
03:06:41:12,640,304
03:06:79:36,299,257
03:07:04:31,419,344
03:07:04:35,299,257
03:07:04:36,577,484
03:07:04:37,335,285
03:07:05:16,823,523
03:08:76:18,615,395
03:08:82:53,1638,1050
03:08:82:54,485,274
03:09:72:21,467,323
03:09:77:23,563,249
03:12:26:31,266,222
03:12:48:16,840,399
03:13:17:54,335,252
03:13:42:54,341,244
03:13:85:12,362,280
03:14:42:21,408,246
03:14:93:51,376,260
03:15:25:14,331,257
03:15:28:31,278,239
03:15:49:26,480,332
03:16:20:52,393,302
03:16:20:53,693,564
03:16:20:54,611,305
03:16:43:53,324,261
03:16:83:25,587,430
03:17:82:53,323,220
03:19:19:12,318,235
03:20:03:26,468,323
03:22:33:14,276,202
03:22:33:51,339,290
03:22:33:52,451,382
03:23:56:14,323,208
03:27:30:54,444,286
03:27:56:14,471,316
03:27:68:23,321,228
03:28:26:38,645,527
03:30:42:54,341,255
03:30:72:32,212,142
03:30:77:37,363,278
03:30:88:16,577,245
03:33:51:53,441,365
03:33:76:18,368,254
03:33:77:51,1060,518
03:34:96:52,508,428
03:35:29:15,709,346
03:36:11:16,374,215
03:37:19:35,348,275
03:37:62:16,2202,1234
03:39:27:24,482,351
03:39:63:53,439,360
03:39:68:35,288,236
