cell,nCounts,nFeatures
1,4371,2274
2,1821,1074
3,7937,2826
4,3789,2012
5,2588,1441
6,2084,1166
7,4275,2238
8,5503,2563
9,4565,2115
10,3394,1641
11,841,557
12,5398,2467
13,2411,1479
14,1259,765
15,1449,899
16,2928,1539
17,6135,2663
18,9317,3474
19,2894,1571
20,5185,2426
21,2967,1511
22,8836,3439
23,1541,889
24,2501,1223
25,4106,2009
26,5558,2619
27,6637,2865
28,953,534
29,5235,2420
30,7933,3221
31,14328,4538
32,6328,2642
33,4007,1807
34,7913,3120
35,1571,900
36,2734,1325
37,6597,2677
38,7228,3044
39,1443,833
40,1064,585
41,4898,2325
42,3486,1536
43,5832,2642
44,7122,2881
45,5590,2297
46,6638,3149
47,2603,1308
48,889,492
49,3795,1805
50,6014,2690
51,3241,1706
52,3434,1612
53,6593,2690
54,3724,1710
55,7032,2587
56,3772,1773
57,4274,1692
58,2874,1381
59,2296,1080
60,6215,2854
61,1408,764
62,8361,3160
63,6458,2840
64,4482,1948
65,4818,2312
66,542,357
67,12923,3885
68,1766,952
69,5384,2420
70,1316,722
71,4741,2057
72,2473,1162
73,2131,1150
74,4930,2253
75,3561,1739
76,2057,958
77,7898,2885
78,5139,1877
79,15930,4753
80,3122,1493
81,8945,2941
82,1567,799
83,3451,1588
84,1792,1073
85,4991,2186
86,2877,1566
87,1736,954
88,7543,3044
89,3687,1860
90,3237,1580
91,6107,2414
92,7619,3012
93,1408,749
94,1930,1017
95,5254,2220
96,6120,2574
97,5222,2223
98,6708,2680
99,1362,748
100,1200,690
101,2683,1162
102,7625,2937
103,3944,1395
104,1933,773
105,3863,1876
106,2606,1272
107,1892,954
108,4718,2134
109,8474,3358
110,2657,1355
111,5886,2632
112,4676,1967
113,2534,1119
114,3163,1540
115,6523,2691
116,1263,768
117,1234,749
118,1324,709
119,4585,2215
120,3822,2047
121,3132,1759
122,3051,1810
123,1118,736
124,4962,2629
125,7543,3537
126,1323,687
127,4539,2133
128,4035,1657
129,6053,2728
130,885,548
131,2049,1069
132,9621,3217
133,1443,854
134,2234,1223
135,4002,1965
136,1562,896
137,2776,1144
138,3008,1504
139,7015,3202
140,3762,1831
141,1074,602
142,5691,2266
143,2546,1319
144,4860,1985
145,3784,1555
146,3110,1595
147,6000,2722
148,4160,1908
149,3611,1839
150,1902,1057
151,3122,1409
152,11704,3626
153,2123,1149
154,4696,2128
155,3673,1809
156,1749,1013
157,5041,2496
158,8101,2234
159,7061,3098
