cell,nCounts,nFeatures
"R1.70,R2.56,R3.96,P1.03",2421,2352
"R1.46,R2.87,R3.62,P1.02",1461,1437
"R1.71,R2.78,R3.20,P1.02",1070,1059
"R1.24,R2.03,R3.18,P1.03",8671,7950
"R1.14,R2.45,R3.92,P1.03",5351,5032
"R1.10,R2.08,R3.74,P1.02",11195,10176
"R1.13,R2.83,R3.26,P1.03",8807,8018
"R1.90,R2.51,R3.18,P1.03",7582,6992
"R1.33,R2.33,R3.63,P1.03",1233,1216
"R1.45,R2.20,R3.72,P1.03",3400,3303
"R1.21,R2.10,R3.07,P1.02",7028,6547
"R1.36,R2.82,R3.27,P1.03",6467,6042
"R1.54,R2.43,R3.84,P1.03",2628,2562
"R1.12,R2.16,R3.71,P1.02",3305,3162
"R1.83,R2.14,R3.04,P1.03",402,396
"R1.54,R2.27,R3.07,P1.03",3900,3742
"R1.35,R2.54,R3.45,P1.03",312,311
"R1.87,R2.42,R3.68,P1.03",890,881
"R1.61,R2.02,R3.03,P1.03",3407,3282
"R1.74,R2.94,R3.15,P1.02",3276,3166
"R1.49,R2.38,R3.49,P1.03",6230,5918
"R1.67,R2.91,R3.77,P1.03",2556,2506
"R1.23,R2.37,R3.37,P1.02",3092,2976
"R1.05,R2.50,R3.02,P1.02",10119,9069
"R1.17,R2.16,R3.71,P1.02",2692,2622
"R1.18,R2.75,R3.23,P1.02",2390,2325
"R1.23,R2.78,R3.79,P1.02",1904,1868
"R1.03,R2.82,R3.14,P1.03",2218,2157
"R1.09,R2.50,R3.03,P1.03",3184,3059
"R1.10,R2.40,R3.01,P1.03",6814,6285
"R1.35,R2.02,R3.51,P1.03",13695,11920
"R1.35,R2.79,R3.48,P1.03",1754,1719
"R1.47,R2.18,R3.05,P1.03",12706,11281
"R1.59,R2.12,R3.03,P1.03",27254,21288
"R1.58,R2.55,R3.54,P1.03",7028,6558
"R1.63,R2.70,R3.79,P1.03",2102,2044
"R1.64,R2.69,R3.44,P1.03",2757,2640
"R1.88,R2.63,R3.32,P1.03",4055,3895
"R1.27,R2.10,R3.13,P1.03",8579,7774
"R1.80,R2.60,R3.39,P1.03",1174,1161
"R1.13,R2.80,R3.05,P1.02",726,720
"R1.11,R2.22,R3.95,P1.03",2486,2427
"R1.20,R2.23,R3.54,P1.03",1796,1760
"R1.54,R2.75,R3.92,P1.03",3688,3531
