cell,nCounts,nFeatures
"R1.01,R2.02,R3.39,P1.51",555,497
"R1.01,R2.02,R3.75,P1.50",2790,1918
"R1.01,R2.03,R3.03,P1.51",391,367
"R1.01,R2.03,R3.71,P1.51",667,572
"R1.01,R2.05,R3.01,P1.50",1614,1164
"R1.01,R2.06,R3.30,P1.50",4159,2564
"R1.01,R2.08,R3.59,P1.51",616,546
"R1.01,R2.11,R3.26,P1.50",3280,2028
"R1.01,R2.15,R3.80,P1.50",3064,2050
"R1.01,R2.20,R3.33,P1.50",3737,2201
"R1.01,R2.21,R3.11,P1.50",2685,1796
"R1.01,R2.21,R3.13,P1.51",5056,3025
"R1.01,R2.21,R3.77,P1.51",514,465
"R1.01,R2.24,R3.13,P1.50",12815,4903
"R1.01,R2.24,R3.54,P1.51",2216,1585
"R1.01,R2.25,R3.11,P1.51",2278,1685
"R1.01,R2.25,R3.45,P1.50",5047,2801
"R1.01,R2.26,R3.39,P1.50",2823,1894
"R1.01,R2.26,R3.87,P1.51",1331,1063
"R1.01,R2.27,R3.18,P1.50",12885,4987
"R1.01,R2.27,R3.34,P1.51",860,737
"R1.01,R2.27,R3.77,P1.50",2616,1650
"R1.01,R2.29,R3.17,P1.50",2845,2016
"R1.01,R2.29,R3.56,P1.50",2335,1608
"R1.01,R2.30,R3.06,P1.50",2334,1677
"R1.01,R2.31,R3.17,P1.50",30510,7398
"R1.01,R2.31,R3.29,P1.51",2230,1650
"R1.01,R2.31,R3.49,P1.50",2799,1770
"R1.01,R2.32,R3.55,P1.51",492,456
"R1.01,R2.34,R3.47,P1.50",6809,3368
"R1.01,R2.34,R3.84,P1.51",894,763
"R1.01,R2.36,R3.72,P1.50",4766,2777
"R1.01,R2.37,R3.17,P1.50",1151,917
"R1.01,R2.37,R3.83,P1.51",683,580
"R1.01,R2.38,R3.04,P1.50",2875,1962
"R1.01,R2.38,R3.39,P1.50",4207,2563
"R1.01,R2.38,R3.94,P1.50",2597,1730
"R1.01,R2.39,R3.28,P1.50",405,376
"R1.01,R2.40,R3.36,P1.50",4376,2655
"R1.01,R2.40,R3.49,P1.50",10963,4558
"R1.01,R2.42,R3.64,P1.50",6377,3238
"R1.01,R2.45,R3.20,P1.50",13746,5064
"R1.01,R2.46,R3.82,P1.50",3014,1856
"R1.01,R2.46,R3.95,P1.50",4219,2392
"R1.01,R2.50,R3.22,P1.50",6626,3280
"R1.01,R2.51,R3.14,P1.51",3334,2236
"R1.01,R2.52,R3.07,P1.51",778,647
"R1.01,R2.53,R3.88,P1.50",2522,1683
"R1.01,R2.55,R3.74,P1.50",2856,1834
"R1.01,R2.60,R3.33,P1.50",2304,1610
"R1.01,R2.62,R3.33,P1.50",2868,1909
"R1.01,R2.63,R3.22,P1.51",2836,2010
"R1.01,R2.64,R3.03,P1.50",7669,3811
"R1.01,R2.69,R3.10,P1.50",4796,2720
"R1.01,R2.70,R3.20,P1.50",4453,2590
"R1.01,R2.70,R3.53,P1.51",608,538
"R1.01,R2.73,R3.13,P1.50",2429,1572
"R1.01,R2.73,R3.60,P1.50",2868,1920
"R1.01,R2.73,R3.88,P1.51",503,453
"R1.01,R2.74,R3.75,P1.51",1878,1415
"R1.01,R2.75,R3.25,P1.50",9489,4076
"R1.01,R2.88,R3.22,P1.51",575,523
"R1.01,R2.89,R3.03,P1.50",5903,3279
"R1.01,R2.91,R3.02,P1.50",12330,4833
"R1.02,R2.01,R3.02,P1.50",11732,4623
"R1.02,R2.02,R3.26,P1.50",4992,2893
"R1.02,R2.02,R3.79,P1.50",3336,2108
"R1.02,R2.03,R3.13,P1.51",19753,6414
"R1.02,R2.07,R3.54,P1.50",7043,3517
"R1.02,R2.08,R3.05,P1.51",682,592
"R1.02,R2.08,R3.56,P1.50",3317,2124
"R1.02,R2.09,R3.47,P1.51",1695,1236
"R1.02,R2.10,R3.20,P1.51",1940,1452
"R1.02,R2.12,R3.24,P1.50",1099,937
"R1.02,R2.13,R3.20,P1.50",2588,1867
"R1.02,R2.13,R3.83,P1.51",958,816
