cell,nCounts,nFeatures
"R1.75,R2.54,R3.52,P1.33",240,236
"R1.65,R2.43,R3.90,P1.37",203,201
"R1.82,R2.52,R3.18,P1.36",499,492
"R1.89,R2.40,R3.58,P1.36",406,398
"R1.86,R2.28,R3.80,P1.37",380,375
"R1.78,R2.86,R3.25,P1.34",152,152
"R1.77,R2.10,R3.20,P1.34",794,760
"R1.68,R2.35,R3.13,P1.34",493,489
"R1.65,R2.39,R3.81,P1.33",312,309
"R1.87,R2.86,R3.81,P1.34",297,292
"R1.89,R2.16,R3.31,P1.31",306,304
"R1.87,R2.57,R3.01,P1.34",577,564
"R1.74,R2.80,R3.15,P1.33",354,349
"R1.76,R2.81,R3.37,P1.31",538,529
"R1.71,R2.76,R3.01,P1.33",498,495
"R1.88,R2.49,R3.87,P1.34",526,513
"R1.72,R2.62,R3.17,P1.37",2580,2378
"R1.86,R2.63,R3.64,P1.31",403,399
"R1.73,R2.50,R3.11,P1.34",1575,1514
"R1.85,R2.54,R3.44,P1.34",1192,1151
"R1.75,R2.74,R3.47,P1.37",341,336
"R1.67,R2.67,R3.48,P1.34",551,538
"R1.87,R2.49,R3.49,P1.37",232,228
"R1.80,R2.63,R3.35,P1.36",316,315
"R1.93,R2.21,R3.40,P1.34",553,544
"R1.82,R2.57,R3.25,P1.31",991,959
"R1.83,R2.84,R3.67,P1.34",178,177
"R1.83,R2.90,R3.19,P1.31",220,218
"R1.85,R2.21,R3.08,P1.31",1100,1061
"R1.81,R2.94,R3.62,P1.34",393,386
"R1.81,R2.68,R3.37,P1.34",180,179
"R1.79,R2.22,R3.58,P1.37",381,371
"R1.86,R2.31,R3.17,P1.31",161,159
"R1.69,R2.86,R3.60,P1.34",492,483
"R1.69,R2.35,R3.62,P1.35",237,232
"R1.81,R2.20,R3.61,P1.37",680,665
"R1.85,R2.55,R3.57,P1.36",188,188
"R1.74,R2.23,R3.54,P1.36",292,285
"R1.68,R2.52,R3.94,P1.34",272,268
"R1.89,R2.73,R3.74,P1.34",264,262
"R1.89,R2.02,R3.15,P1.36",367,363
"R1.73,R2.36,R3.23,P1.35",796,772
"R1.67,R2.44,R3.49,P1.34",636,621
"R1.65,R2.48,R3.60,P1.36",1912,1794
"R1.81,R2.16,R3.50,P1.35",303,299
"R1.85,R2.73,R3.40,P1.36",167,166
"R1.77,R2.30,R3.88,P1.33",401,396
"R1.72,R2.12,R3.46,P1.33",1112,1082
"R1.93,R2.36,R3.58,P1.33",331,330
"R1.71,R2.68,R3.28,P1.35",581,578
"R1.72,R2.37,R3.51,P1.33",160,159
"R1.65,R2.50,R3.80,P1.37",791,783
"R1.85,R2.34,R3.19,P1.31",190,188
"R1.72,R2.61,R3.88,P1.34",207,206
"R1.74,R2.78,R3.10,P1.33",816,795
"R1.81,R2.53,R3.10,P1.37",419,411
"R1.91,R2.70,R3.29,P1.36",210,209
"R1.80,R2.44,R3.02,P1.34",190,189
"R1.73,R2.09,R3.82,P1.33",533,526
"R1.86,R2.31,R3.84,P1.35",384,379
"R1.92,R2.22,R3.12,P1.37",179,178
"R1.73,R2.62,R3.34,P1.37",464,456
"R1.65,R2.19,R3.27,P1.35",659,646
"R1.88,R2.35,R3.67,P1.31",677,667
"R1.68,R2.15,R3.33,P1.33",590,578
"R1.72,R2.09,R3.91,P1.33",185,183
"R1.68,R2.75,R3.64,P1.31",362,357
"R1.72,R2.19,R3.48,P1.35",559,554
"R1.94,R2.50,R3.64,P1.33",231,231
"R1.80,R2.24,R3.86,P1.33",367,364
"R1.84,R2.06,R3.53,P1.35",882,858
"R1.77,R2.03,R3.69,P1.36",318,314
"R1.75,R2.31,R3.04,P1.37",248,248
"R1.76,R2.12,R3.18,P1.31",708,687
"R1.91,R2.72,R3.48,P1.33",661,643
"R1.70,R2.84,R3.75,P1.33",661,649
"R1.78,R2.05,R3.37,P1.34",228,223
"R1.88,R2.37,R3.52,P1.35",275,272
"R1.94,R2.72,R3.02,P1.35",675,661
