cell,nCounts,nFeatures
"R1.65,R2.01,R3.04,P1.39",163,141
"R1.65,R2.01,R3.28,P1.39",297,264
"R1.65,R2.01,R3.47,P1.41",274,242
"R1.65,R2.01,R3.93,P1.40",209,188
"R1.65,R2.02,R3.13,P1.44",476,412
"R1.65,R2.02,R3.53,P1.39",153,144
"R1.65,R2.02,R3.55,P1.41",180,155
"R1.65,R2.02,R3.60,P1.42",135,126
"R1.65,R2.02,R3.84,P1.40",281,234
"R1.65,R2.03,R3.17,P1.45",186,154
"R1.65,R2.03,R3.43,P1.45",327,279
"R1.65,R2.04,R3.09,P1.43",623,465
"R1.65,R2.04,R3.29,P1.44",192,171
"R1.65,R2.04,R3.48,P1.43",225,192
"R1.65,R2.05,R3.30,P1.39",297,262
"R1.65,R2.05,R3.92,P1.40",202,175
"R1.65,R2.06,R3.18,P1.45",478,373
"R1.65,R2.06,R3.28,P1.40",365,206
"R1.65,R2.06,R3.41,P1.44",224,199
"R1.65,R2.06,R3.42,P1.45",127,68
"R1.65,R2.06,R3.54,P1.45",413,324
"R1.65,R2.07,R3.15,P1.44",1094,861
"R1.65,R2.07,R3.36,P1.45",120,58
"R1.65,R2.07,R3.54,P1.41",321,264
"R1.65,R2.07,R3.56,P1.45",198,168
"R1.65,R2.07,R3.94,P1.39",178,154
"R1.65,R2.07,R3.95,P1.44",322,269
"R1.65,R2.08,R3.93,P1.41",315,274
"R1.65,R2.09,R3.05,P1.40",541,447
"R1.65,R2.09,R3.16,P1.39",302,254
"R1.65,R2.09,R3.30,P1.45",234,202
"R1.65,R2.09,R3.51,P1.43",170,146
"R1.65,R2.09,R3.55,P1.42",374,293
"R1.65,R2.10,R3.18,P1.43",279,252
"R1.65,R2.10,R3.28,P1.45",265,208
"R1.65,R2.10,R3.55,P1.41",130,116
"R1.65,R2.10,R3.95,P1.43",153,138
"R1.65,R2.11,R3.01,P1.39",198,187
"R1.65,R2.12,R3.08,P1.41",317,268
"R1.65,R2.12,R3.15,P1.41",262,231
"R1.65,R2.12,R3.47,P1.42",270,234
"R1.65,R2.12,R3.70,P1.43",272,149
"R1.65,R2.12,R3.96,P1.39",226,195
"R1.65,R2.13,R3.68,P1.41",326,270
"R1.65,R2.14,R3.07,P1.43",223,194
"R1.65,R2.14,R3.66,P1.44",224,198
