cell,nCounts,nFeatures
"R1.47,R2.55,R3.18,P1.31",2457,2389
"R1.43,R2.14,R3.95,P1.31",2404,2306
"R1.40,R2.66,R3.81,P1.35",1659,1598
"R1.63,R2.66,R3.28,P1.34",1928,1869
"R1.33,R2.23,R3.46,P1.34",1450,1424
"R1.44,R2.56,R3.90,P1.36",2182,2119
"R1.60,R2.09,R3.01,P1.35",16930,13486
"R1.41,R2.76,R3.90,P1.36",5223,4835
"R1.49,R2.35,R3.62,P1.36",3014,2882
"R1.51,R2.50,R3.29,P1.35",944,928
"R1.38,R2.69,R3.34,P1.37",1839,1776
"R1.47,R2.28,R3.61,P1.33",1085,1063
"R1.41,R2.76,R3.64,P1.34",4604,4305
"R1.49,R2.34,R3.64,P1.35",2514,2424
"R1.60,R2.76,R3.49,P1.36",1379,1346
"R1.47,R2.25,R3.90,P1.33",1366,1327
"R1.54,R2.14,R3.85,P1.36",2145,2085
"R1.44,R2.17,R3.36,P1.36",14426,11844
"R1.58,R2.46,R3.02,P1.35",5013,4664
"R1.52,R2.09,R3.13,P1.33",18144,14534
"R1.39,R2.32,R3.65,P1.34",806,795
"R1.54,R2.16,R3.22,P1.33",2324,2246
"R1.46,R2.54,R3.72,P1.33",1680,1644
"R1.60,R2.61,R3.33,P1.35",811,797
"R1.49,R2.25,R3.64,P1.31",918,903
"R1.58,R2.66,R3.54,P1.35",2731,2630
"R1.62,R2.64,R3.32,P1.37",2096,2012
"R1.52,R2.40,R3.94,P1.34",720,711
"R1.46,R2.53,R3.45,P1.31",2176,2104
"R1.58,R2.38,R3.89,P1.33",1192,1169
"R1.35,R2.38,R3.56,P1.36",1464,1425
"R1.45,R2.40,R3.09,P1.34",4756,4447
"R1.44,R2.41,R3.31,P1.33",1122,1108
"R1.64,R2.94,R3.40,P1.35",1663,1619
"R1.54,R2.76,R3.15,P1.35",1167,1143
"R1.57,R2.53,R3.86,P1.34",795,782
"R1.60,R2.81,R3.20,P1.34",1603,1572
"R1.46,R2.40,R3.88,P1.33",1114,1097
"R1.62,R2.22,R3.64,P1.35",4829,4522
"R1.36,R2.15,R3.89,P1.33",5059,4675
"R1.47,R2.11,R3.84,P1.36",1894,1845
"R1.38,R2.53,R3.39,P1.36",3579,3320
"R1.56,R2.48,R3.18,P1.35",6017,5584
"R1.38,R2.37,R3.50,P1.35",4237,3984
"R1.51,R2.51,R3.69,P1.31",768,754
"R1.34,R2.15,R3.86,P1.37",2069,2006
"R1.43,R2.59,R3.65,P1.35",6764,6154
"R1.50,R2.05,R3.65,P1.35",2772,2645
"R1.61,R2.38,R3.30,P1.36",2294,2218
"R1.49,R2.45,R3.49,P1.32",241,240
"R1.57,R2.44,R3.01,P1.37",1546,1514
"R1.43,R2.04,R3.73,P1.33",1239,1207
"R1.35,R2.83,R3.12,P1.34",8763,7709
"R1.42,R2.14,R3.32,P1.37",1126,1111
"R1.33,R2.74,R3.89,P1.33",1054,1025
"R1.36,R2.29,R3.95,P1.37",6987,6332
"R1.59,R2.66,R3.82,P1.33",9628,8469
"R1.64,R2.06,R3.13,P1.34",3940,3744
"R1.62,R2.90,R3.13,P1.35",8112,7226
"R1.40,R2.43,R3.45,P1.31",672,662
"R1.50,R2.69,R3.41,P1.35",840,828
"R1.47,R2.67,R3.01,P1.34",3035,2898
"R1.44,R2.83,R3.84,P1.36",1724,1677
"R1.57,R2.09,R3.51,P1.36",4825,4520
"R1.38,R2.33,R3.28,P1.36",1775,1728
"R1.45,R2.68,R3.22,P1.33",1707,1657
"R1.50,R2.22,R3.64,P1.36",6866,6247
"R1.37,R2.69,R3.14,P1.33",3185,3020
"R1.41,R2.79,R3.83,P1.33",1204,1186
"R1.43,R2.53,R3.45,P1.36",492,484
"R1.35,R2.19,R3.71,P1.34",4477,4232
"R1.34,R2.25,R3.18,P1.34",1891,1832
"R1.53,R2.31,R3.39,P1.31",18818,14639
"R1.44,R2.41,R3.44,P1.33",1673,1642
"R1.52,R2.54,R3.06,P1.35",4509,4217
"R1.44,R2.15,R3.23,P1.34",5870,5454
"R1.63,R2.26,R3.14,P1.37",2657,2536
"R1.48,R2.11,R3.78,P1.32",249,247
"R1.41,R2.16,R3.52,P1.36",2225,2155
"R1.62,R2.10,R3.94,P1.36",6220,5716
"R1.56,R2.60,R3.25,P1.31",1255,1228
"R1.44,R2.58,R3.93,P1.36",2699,2538
"R1.48,R2.18,R3.23,P1.32",233,233
"R1.36,R2.27,R3.96,P1.33",535,532
"R1.48,R2.13,R3.18,P1.34",16382,13239
"R1.44,R2.05,R3.94,P1.33",15004,12434
"R1.35,R2.06,R3.76,P1.37",3662,3442
"R1.56,R2.34,R3.30,P1.34",3512,3318
"R1.49,R2.68,R3.65,P1.34",1872,1821
"R1.55,R2.01,R3.90,P1.31",1063,1042
"R1.41,R2.55,R3.20,P1.36",9432,8209
"R1.43,R2.21,R3.27,P1.36",3926,3686
"R1.58,R2.32,R3.94,P1.35",8230,7210
"R1.56,R2.14,R3.13,P1.33",1186,1156
"R1.48,R2.05,R3.31,P1.35",3484,3288
