cell,nCounts,nFeatures
"R1.33,R2.01,R3.47,P1.44",1652,1245
"R1.33,R2.02,R3.14,P1.39",1825,1273
"R1.33,R2.03,R3.68,P1.42",1368,1033
"R1.33,R2.04,R3.44,P1.41",2411,1576
"R1.33,R2.04,R3.44,P1.43",4882,2655
"R1.33,R2.04,R3.73,P1.40",608,537
"R1.33,R2.05,R3.17,P1.42",2571,1729
"R1.33,R2.06,R3.57,P1.45",5040,2828
"R1.33,R2.06,R3.65,P1.43",1029,817
"R1.33,R2.09,R3.06,P1.40",1223,977
"R1.33,R2.09,R3.34,P1.43",4184,2389
"R1.33,R2.10,R3.80,P1.45",1525,1048
"R1.33,R2.13,R3.03,P1.41",2176,1543
"R1.33,R2.14,R3.42,P1.40",4256,2508
"R1.33,R2.15,R3.01,P1.39",1522,1156
"R1.33,R2.15,R3.15,P1.41",1408,1022
"R1.33,R2.18,R3.14,P1.44",4451,2624
"R1.33,R2.20,R3.70,P1.43",3739,2225
"R1.33,R2.21,R3.61,P1.44",2133,1530
"R1.33,R2.22,R3.49,P1.42",5542,2905
"R1.33,R2.23,R3.46,P1.42",1101,801
"R1.33,R2.26,R3.19,P1.40",1046,793
"R1.33,R2.27,R3.01,P1.40",12079,4640
"R1.33,R2.29,R3.61,P1.44",2697,1834
"R1.33,R2.32,R3.14,P1.41",4286,2464
"R1.33,R2.34,R3.14,P1.39",835,667
"R1.33,R2.34,R3.76,P1.45",1139,888
"R1.33,R2.37,R3.59,P1.42",2815,1817
"R1.33,R2.38,R3.11,P1.42",1658,1189
"R1.33,R2.38,R3.20,P1.45",5128,2788
"R1.33,R2.39,R3.10,P1.45",639,527
"R1.33,R2.39,R3.17,P1.39",2950,1890
"R1.33,R2.39,R3.61,P1.44",1986,1503
"R1.33,R2.41,R3.17,P1.45",2369,1647
"R1.33,R2.42,R3.28,P1.39",2046,1428
"R1.33,R2.43,R3.41,P1.39",1052,805
"R1.33,R2.48,R3.48,P1.43",8159,3737
"R1.33,R2.52,R3.24,P1.39",2505,1680
"R1.33,R2.53,R3.35,P1.41",3832,2390
"R1.33,R2.53,R3.61,P1.42",10205,4173
"R1.33,R2.54,R3.32,P1.39",8030,3800
"R1.33,R2.54,R3.58,P1.43",3743,2299
"R1.33,R2.54,R3.72,P1.45",1426,976
"R1.33,R2.56,R3.92,P1.44",1998,1415
"R1.33,R2.57,R3.87,P1.40",6268,3073
"R1.33,R2.62,R3.04,P1.44",1872,1395
"R1.33,R2.62,R3.52,P1.40",1954,1385
"R1.33,R2.63,R3.42,P1.42",1757,1313
"R1.33,R2.68,R3.26,P1.41",2352,1456
"R1.33,R2.69,R3.62,P1.45",4211,2518
"R1.33,R2.71,R3.48,P1.41",4619,2454
"R1.33,R2.71,R3.50,P1.43",1428,1052
"R1.33,R2.74,R3.09,P1.43",1939,1427
"R1.33,R2.74,R3.89,P1.41",824,639
"R1.33,R2.77,R3.43,P1.43",1985,1416
