cell,nCounts,nFeatures
R1.01.R2.04.R3.55.P1.40,762,756
R1.01.R2.05.R3.35.P1.40,9245,8313
R1.01.R2.08.R3.78.P1.39,1589,1561
R1.01.R2.09.R3.52.P1.40,2521,2451
R1.01.R2.17.R3.52.P1.39,871,857
R1.01.R2.33.R3.36.P1.39,5307,5108
R1.01.R2.36.R3.72.P1.39,1069,1050
R1.01.R2.40.R3.51.P1.40,2647,2596
R1.01.R2.40.R3.85.P1.40,1106,1087
R1.01.R2.41.R3.13.P1.39,858,837
R1.01.R2.41.R3.72.P1.40,1257,1235
R1.01.R2.52.R3.30.P1.40,834,826
R1.01.R2.56.R3.06.P1.40,621,616
R1.01.R2.60.R3.65.P1.40,902,886
R1.01.R2.65.R3.18.P1.39,807,801
R1.01.R2.72.R3.31.P1.39,1240,1225
R1.01.R2.74.R3.64.P1.39,1294,1275
R1.01.R2.75.R3.13.P1.39,1750,1714
R1.01.R2.84.R3.90.P1.40,1427,1402
R1.01.R2.90.R3.71.P1.39,2407,2310
R1.01.R2.91.R3.32.P1.40,621,617
R1.01.R2.93.R3.19.P1.40,663,655
R1.01.R2.96.R3.01.P1.40,1025,1007
R1.02.R2.08.R3.28.P1.40,610,600
R1.02.R2.12.R3.66.P1.40,1394,1373
R1.02.R2.13.R3.64.P1.39,697,681
R1.02.R2.15.R3.07.P1.39,858,849
R1.02.R2.15.R3.22.P1.40,804,778
R1.02.R2.25.R3.08.P1.40,757,743
R1.02.R2.29.R3.86.P1.39,810,804
R1.02.R2.33.R3.20.P1.40,610,607
R1.02.R2.35.R3.72.P1.39,368,367
R1.02.R2.42.R3.20.P1.39,1016,999
R1.02.R2.46.R3.19.P1.40,1202,1185
R1.02.R2.46.R3.77.P1.40,1914,1892
R1.02.R2.48.R3.35.P1.40,1041,1030
R1.02.R2.49.R3.45.P1.40,639,634
R1.02.R2.51.R3.20.P1.39,1648,1618
R1.02.R2.51.R3.48.P1.39,955,946
R1.02.R2.55.R3.15.P1.39,1892,1856
R1.02.R2.60.R3.10.P1.39,558,554
R1.02.R2.65.R3.74.P1.40,589,583
R1.02.R2.68.R3.41.P1.40,723,706
R1.02.R2.68.R3.86.P1.39,1566,1530
R1.02.R2.74.R3.84.P1.39,889,874
R1.02.R2.86.R3.72.P1.39,1676,1653
R1.02.R2.88.R3.36.P1.40,558,550
R1.02.R2.91.R3.04.P1.39,2167,2125
R1.02.R2.91.R3.53.P1.39,1127,1104
R1.03.R2.02.R3.18.P1.39,794,777
R1.03.R2.09.R3.67.P1.39,1478,1447
R1.03.R2.10.R3.58.P1.40,476,468
R1.03.R2.13.R3.27.P1.39,616,613
R1.03.R2.13.R3.83.P1.40,850,830
R1.03.R2.14.R3.80.P1.39,1626,1603
R1.03.R2.17.R3.91.P1.39,573,571
R1.03.R2.19.R3.27.P1.40,1079,1067
