cell,nCounts,nFeatures
"R1.01,R2.01,R3.24,P1.40",1952,1219
"R1.01,R2.05,R3.35,P1.40",11771,4347
"R1.01,R2.08,R3.24,P1.40",478,324
"R1.01,R2.08,R3.45,P1.39",507,405
"R1.01,R2.08,R3.78,P1.39",4501,2154
"R1.01,R2.09,R3.52,P1.40",9957,3177
"R1.01,R2.17,R3.52,P1.39",2906,1488
"R1.01,R2.20,R3.36,P1.39",11991,3074
"R1.01,R2.23,R3.56,P1.40",2515,1538
"R1.01,R2.27,R3.37,P1.39",3365,1727
"R1.01,R2.33,R3.36,P1.39",26804,5312
"R1.01,R2.36,R3.72,P1.39",8385,2356
"R1.01,R2.39,R3.21,P1.39",1886,1151
"R1.01,R2.40,R3.51,P1.40",12895,3879
"R1.01,R2.40,R3.85,P1.40",6294,2275
"R1.01,R2.41,R3.13,P1.39",7823,2880
"R1.01,R2.47,R3.16,P1.40",4100,1969
"R1.01,R2.52,R3.30,P1.40",6107,2295
"R1.01,R2.56,R3.06,P1.40",1546,706
"R1.01,R2.65,R3.18,P1.39",1798,1141
"R1.01,R2.66,R3.67,P1.40",1338,934
"R1.01,R2.72,R3.31,P1.39",7432,2735
"R1.01,R2.74,R3.64,P1.39",4747,1905
"R1.01,R2.75,R3.13,P1.39",6407,2635
"R1.01,R2.75,R3.31,P1.40",3241,1461
"R1.01,R2.84,R3.90,P1.40",6710,2468
"R1.01,R2.87,R3.71,P1.40",2196,1273
"R1.01,R2.90,R3.71,P1.39",6017,2444
"R1.01,R2.91,R3.32,P1.40",3122,1445
"R1.01,R2.93,R3.19,P1.40",3352,1506
"R1.01,R2.96,R3.01,P1.40",6627,2401
"R1.02,R2.02,R3.79,P1.40",592,426
"R1.02,R2.04,R3.45,P1.40",855,577
"R1.02,R2.08,R3.28,P1.40",2614,1351
"R1.02,R2.10,R3.74,P1.39",9351,3737
"R1.02,R2.12,R3.66,P1.40",8203,2657
"R1.02,R2.13,R3.64,P1.39",1989,1052
"R1.02,R2.15,R3.07,P1.39",2852,1368
"R1.02,R2.15,R3.22,P1.40",763,478
"R1.02,R2.27,R3.82,P1.40",2900,1442
"R1.02,R2.29,R3.86,P1.39",2894,1368
"R1.02,R2.33,R3.20,P1.40",3965,1858
"R1.02,R2.42,R3.20,P1.39",3822,1540
"R1.02,R2.46,R3.19,P1.40",5183,2235
"R1.02,R2.46,R3.77,P1.40",8687,2835
"R1.02,R2.48,R3.35,P1.40",5719,2229
"R1.02,R2.48,R3.68,P1.40",382,295
"R1.02,R2.49,R3.45,P1.40",3583,1694
"R1.02,R2.51,R3.20,P1.39",5817,2466
"R1.02,R2.52,R3.16,P1.40",2638,1138
"R1.02,R2.60,R3.28,P1.39",22916,5343
"R1.02,R2.68,R3.41,P1.40",1992,1080
"R1.02,R2.68,R3.86,P1.39",2802,1362
"R1.02,R2.75,R3.38,P1.40",3378,1616
"R1.02,R2.86,R3.72,P1.39",8815,2834
"R1.02,R2.88,R3.36,P1.40",3290,1574
"R1.02,R2.91,R3.04,P1.39",6955,2471
"R1.02,R2.91,R3.53,P1.39",3197,1684
"R1.02,R2.94,R3.10,P1.40",1777,1059
"R1.03,R2.02,R3.18,P1.39",3252,1651
"R1.03,R2.06,R3.49,P1.39",3235,1670
"R1.03,R2.07,R3.47,P1.40",1010,646
"R1.03,R2.09,R3.67,P1.39",3632,1654
"R1.03,R2.13,R3.27,P1.39",9028,3159
"R1.03,R2.13,R3.83,P1.40",6722,2459
"R1.03,R2.16,R3.37,P1.40",18025,4665
"R1.03,R2.17,R3.55,P1.40",5740,2671
"R1.03,R2.19,R3.27,P1.40",6590,2331
"R1.03,R2.20,R3.48,P1.40",10523,3236
"R1.03,R2.22,R3.26,P1.40",3735,1640
"R1.03,R2.22,R3.44,P1.39",3245,1601
"R1.03,R2.27,R3.23,P1.39",2796,1428
"R1.03,R2.32,R3.23,P1.40",1839,1158
"R1.03,R2.32,R3.42,P1.40",12386,3646
"R1.03,R2.39,R3.10,P1.40",6692,2891
"R1.03,R2.45,R3.13,P1.39",5161,2253
"R1.03,R2.45,R3.25,P1.40",17359,4772
"R1.03,R2.46,R3.92,P1.40",6341,2331
"R1.03,R2.48,R3.72,P1.40",2033,1211
"R1.03,R2.53,R3.52,P1.40",778,551
"R1.03,R2.54,R3.35,P1.39",13723,3799
"R1.03,R2.55,R3.73,P1.40",303,248
"R1.03,R2.56,R3.47,P1.39",7363,2865
"R1.03,R2.56,R3.59,P1.40",7337,2581
"R1.03,R2.58,R3.12,P1.39",16732,4595
"R1.03,R2.59,R3.01,P1.39",1555,949
"R1.03,R2.64,R3.57,P1.39",12389,3748
"R1.03,R2.66,R3.28,P1.39",1879,1164
"R1.03,R2.68,R3.75,P1.40",3063,1454
"R1.03,R2.77,R3.89,P1.40",726,527
"R1.03,R2.82,R3.81,P1.39",9348,3572
"R1.03,R2.88,R3.84,P1.40",2998,1429
"R1.03,R2.93,R3.52,P1.39",2803,1432
"R1.04,R2.03,R3.86,P1.40",6724,2375
"R1.04,R2.04,R3.48,P1.39",4824,2384
"R1.04,R2.06,R3.15,P1.39",57959,7742
"R1.04,R2.08,R3.65,P1.40",6261,2299
"R1.04,R2.15,R3.67,P1.39",565,436
"R1.04,R2.16,R3.51,P1.40",737,597
"R1.04,R2.21,R3.78,P1.40",4879,2136
"R1.04,R2.24,R3.55,P1.40",9106,3595
"R1.04,R2.26,R3.17,P1.39",3315,1522
"R1.04,R2.29,R3.45,P1.40",3741,2011
"R1.04,R2.35,R3.48,P1.40",8041,2858
"R1.04,R2.36,R3.66,P1.40",3963,1957
"R1.04,R2.37,R3.13,P1.40",4003,1891
"R1.04,R2.41,R3.01,P1.39",4270,1849
"R1.04,R2.45,R3.10,P1.39",3420,1880
"R1.04,R2.50,R3.40,P1.39",3262,1513
"R1.04,R2.51,R3.82,P1.39",706,524
"R1.04,R2.54,R3.15,P1.39",4948,1988
"R1.04,R2.55,R3.17,P1.40",662,462
"R1.04,R2.55,R3.18,P1.40",6866,3134
"R1.04,R2.55,R3.71,P1.39",6318,2358
"R1.04,R2.58,R3.65,P1.39",3432,1636
"R1.04,R2.62,R3.50,P1.39",3603,1541
"R1.04,R2.66,R3.17,P1.40",2052,1108
"R1.04,R2.66,R3.58,P1.40",5252,2118
"R1.04,R2.67,R3.92,P1.40",2117,999
"R1.04,R2.70,R3.56,P1.39",2501,1412
"R1.04,R2.80,R3.33,P1.39",2860,1490
"R1.04,R2.83,R3.53,P1.40",2798,1544
"R1.04,R2.89,R3.64,P1.39",793,600
"R1.04,R2.92,R3.73,P1.40",4098,1889
"R1.04,R2.95,R3.19,P1.40",655,518
"R1.04,R2.96,R3.10,P1.40",3856,1953
"R1.05,R2.04,R3.56,P1.40",9012,3422
"R1.05,R2.08,R3.39,P1.39",5235,2076
"R1.05,R2.11,R3.41,P1.39",1350,884
"R1.05,R2.11,R3.53,P1.39",3050,1567
"R1.05,R2.12,R3.29,P1.40",4275,1860
"R1.05,R2.19,R3.06,P1.40",1953,1266
"R1.05,R2.19,R3.80,P1.40",4435,2043
"R1.05,R2.21,R3.95,P1.40",4039,1927
"R1.05,R2.22,R3.23,P1.39",3127,1572
"R1.05,R2.30,R3.86,P1.39",1746,1008
"R1.05,R2.31,R3.66,P1.40",1849,1141
"R1.05,R2.33,R3.73,P1.40",4883,2062
"R1.05,R2.35,R3.82,P1.39",5177,2416
"R1.05,R2.37,R3.31,P1.39",7268,2684
"R1.05,R2.37,R3.52,P1.40",1078,719
"R1.05,R2.43,R3.52,P1.39",924,687
"R1.05,R2.52,R3.19,P1.39",1983,1243
"R1.05,R2.52,R3.67,P1.40",3625,1573
"R1.05,R2.53,R3.14,P1.40",3736,1660
"R1.05,R2.57,R3.07,P1.40",3361,1532
"R1.05,R2.62,R3.56,P1.40",538,434
"R1.05,R2.64,R3.29,P1.39",3388,1545
"R1.05,R2.66,R3.68,P1.40",2328,1211
"R1.05,R2.67,R3.20,P1.40",11990,3488
"R1.05,R2.70,R3.04,P1.39",2090,1242
"R1.05,R2.70,R3.06,P1.40",2842,1359
"R1.05,R2.71,R3.76,P1.39",3358,1655
"R1.05,R2.72,R3.16,P1.39",2323,1270
"R1.05,R2.74,R3.72,P1.39",310,255
"R1.05,R2.75,R3.04,P1.39",3696,1767
"R1.05,R2.77,R3.74,P1.40",6348,2628
"R1.05,R2.80,R3.14,P1.39",2880,1463
"R1.05,R2.88,R3.83,P1.39",927,688
"R1.05,R2.91,R3.78,P1.39",6580,2693
"R1.05,R2.92,R3.30,P1.40",3317,1577
"R1.05,R2.93,R3.13,P1.40",4028,1788
"R1.05,R2.96,R3.92,P1.40",3083,1533
"R1.06,R2.04,R3.58,P1.39",909,653
"R1.06,R2.04,R3.85,P1.40",4738,2016
"R1.06,R2.07,R3.30,P1.40",486,389
"R1.06,R2.07,R3.35,P1.39",555,416
"R1.06,R2.10,R3.18,P1.39",10853,3437
"R1.06,R2.11,R3.33,P1.40",3700,1679
"R1.06,R2.11,R3.84,P1.40",3628,1755
"R1.06,R2.13,R3.01,P1.40",7791,2926
"R1.06,R2.17,R3.48,P1.39",4549,1899
"R1.06,R2.18,R3.01,P1.39",321,289
"R1.06,R2.18,R3.22,P1.40",2835,1465
"R1.06,R2.18,R3.79,P1.40",4497,2049
"R1.06,R2.21,R3.28,P1.39",3606,1816
"R1.06,R2.22,R3.18,P1.39",10235,3511
"R1.06,R2.24,R3.38,P1.40",3229,1621
