cell,nCounts,nFeatures
1,827,555
2,845,649
3,379,272
4,375,320
5,236,189
6,182,151
7,598,480
8,199,158
9,374,310
10,1068,693
11,1060,759
12,742,475
13,330,281
14,892,694
15,259,191
16,349,263
17,406,323
18,210,158
19,377,303
20,192,172
21,547,410
22,260,228
23,607,445
24,523,398
25,589,469
26,1622,947
27,430,349
28,1849,1058
29,652,498
30,2037,1129
31,612,430
32,576,436
33,382,304
34,292,257
35,362,284
36,562,441
37,807,539
38,181,133
39,695,552
40,573,425
41,380,325
42,512,381
43,314,261
44,535,403
45,247,205
46,758,592
47,346,307
48,324,261
49,522,384
50,896,600
51,191,165
52,913,602
53,608,475
54,608,448
55,199,174
56,561,432
57,648,497
58,237,194
59,885,621
60,192,151
61,526,402
62,547,440
63,771,436
64,398,335
65,334,283
66,694,512
67,780,546
68,221,192
69,285,200
70,620,392
71,319,240
72,684,460
73,661,476
74,476,384
75,1112,712
76,253,214
77,180,145
78,176,151
79,427,337
80,674,538
81,699,525
82,742,580
83,480,415
84,1286,918
85,210,179
86,377,315
87,567,430
88,968,595
89,846,660
90,766,534
91,252,222
92,267,219
93,327,273
94,803,604
95,1009,697
96,1019,761
97,190,151
98,310,254
99,626,445
100,217,168
101,226,178
102,239,202
103,347,257
104,220,193
105,217,168
106,740,528
107,280,226
108,442,349
109,187,157
110,447,356
111,317,266
112,1086,776
113,288,235
114,324,263
115,330,275
116,999,656
117,848,569
118,492,371
119,296,247
120,364,287
121,1046,772
122,189,157
123,216,191
124,226,191
125,177,162
126,351,290
127,794,583
128,204,172
129,190,135
130,690,452
131,405,321
132,246,201
133,259,209
134,755,537
135,1203,765
136,590,399
137,600,442
138,189,147
139,179,159
140,465,393
141,884,646
142,293,248
143,948,613
144,773,602
145,401,301
146,1733,1022
147,356,297
148,725,510
149,312,236
150,483,338
151,1002,705
152,276,230
153,417,339
154,229,196
155,317,267
156,381,283
157,312,249
158,400,315
159,393,311
160,256,202
161,625,451
162,229,201
163,214,177
164,1309,900
165,271,208
166,764,532
167,752,539
168,273,240
169,239,212
170,211,180
171,1582,992
172,267,204
173,182,164
174,412,322
175,994,656
176,268,221
177,468,343
178,234,195
179,177,153
180,206,177
181,628,410
182,206,185
183,246,200
184,992,657
185,810,600
186,574,432
187,2512,1263
188,1673,948
189,447,359
190,675,467
191,494,418
192,843,668
193,783,556
194,851,547
195,507,399
196,884,668
197,674,494
198,605,451
199,388,312
200,250,199
201,391,297
202,647,422
203,1255,878
204,348,287
205,3419,1863
206,258,211
207,1629,957
208,267,232
209,206,171
210,380,321
211,262,204
212,481,382
213,185,163
214,227,197
215,279,219
216,1230,850
217,877,596
218,233,199
219,361,263
220,1746,1063
221,333,264
222,214,183
223,798,585
224,198,165
225,623,460
226,445,361
227,587,459
228,904,565
229,299,251
230,266,214
231,379,312
232,310,262
233,211,179
234,361,296
